Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2000-05-06
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-05-31;null;null;null;20,2;6;null;
2000-06-30;null;0;889,3;19,3;6,4;2,5;
2000-07-31;1;,2;888,6;19,1;7,8;2,7;
2000-08-31;2;52,6;888,6;21,5;6,5;2,7;
2000-09-30;6;null;887,6;21,5;7,2;3,1;
2000-10-31;6;189,2;887;23,3;6,5;2,4;
2000-11-30;20;225,2;884,5;20,5;6,5;2,5;
2000-12-31;7;null;null;null;5,9;null;
2001-01-31;4;null;null;null;6,3;2,7;
2001-02-28;17;98,2;886,1;22,5;7,9;2;
2001-03-31;22;201,2;886,9;21,1;6,7;2,1;
2001-04-30;7;141,2;887,7;21,8;5,9;2,3;
2001-05-31;7;35,6;887,8;20,8;5,7;2;
2001-06-30;null;0;889,9;19,5;6,4;2,5;
2001-07-31;1;13,6;889,7;20;6,9;2,5;
2001-08-31;5;null;891,1;19,6;7,9;3,4;
2001-09-30;9;null;887,4;22,2;6,5;2,6;
2001-10-31;16;135,2;886,7;21,2;7,1;2,4;
2001-11-30;19;null;885,2;20,8;7,4;2,2;
2001-12-31;7;null;null;null;7,8;null;
2002-01-31;10;null;null;22;7,5;null;
2002-02-28;19;null;886,6;21;8,1;2,2;
2002-03-31;11;120,8;887,2;22,3;7,2;2,7;
2002-04-30;6;91,6;887,1;22;7,2;2,6;
2002-05-31;2;17,8;888,1;20,9;6,8;2,4;
2002-06-30;null;null;890,5;19,6;6;2,6;
2002-07-31;3;5,4;890;20,2;7,6;2,5;
2002-08-31;1;null;889,6;21,7;7,3;3;
2002-09-30;5;null;887,9;22,1;7,5;2,8;
2002-10-31;6;null;885,8;24,3;6,8;2,4;
