Nome: CRIXAS
Codigo Estacao: A006
Latitude: -14.53333333
Longitude: -49.96666666
Altitude: 389
Situacao: Desativada
Data Inicial: 2001-06-07
Data Final: 2006-09-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-06-30;null;null;null;23,9;4,1;null;
2001-07-31;0;0;972,2;24,1;5;1,4;
2001-08-31;2;11;972,2;25,3;6,2;1,7;
2001-09-30;9;261,8;968,2;null;6,5;1,4;
2001-10-31;16;157,2;968,1;26;8;1,4;
2001-11-30;21;264,2;967,4;25,3;5,6;1,3;
2001-12-31;24;310,2;967,1;25;6;1,3;
2002-01-31;21;null;967,1;24,7;5,7;1,4;
2002-02-28;6;null;null;25,9;4,8;null;
2002-03-31;15;186,2;968,5;26;6,3;1,3;
2002-04-30;1;null;null;null;null;null;
2002-05-31;1;,6;969,3;25,5;5,6;1,4;
2002-06-30;null;null;971,7;23,9;4,8;1,4;
2002-07-31;null;0;971,2;25,2;6,4;1,5;
2002-08-31;null;0;970,2;26,6;5,5;1,6;
2002-09-30;2;60,4;968,8;27,3;6,5;1,6;
2002-10-31;6;null;null;27,9;5,4;null;
2002-11-30;2;null;null;null;null;null;
2002-12-31;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;
2003-02-28;1;null;null;null;null;null;
2003-03-31;2;null;null;null;null;null;
2003-04-30;2;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;24,3;4,5;null;
2005-08-31;2;3,8;970,6;25,7;5,9;1,5;
2005-09-30;4;98,6;968,6;28,4;4,7;1,6;
2005-10-31;6;12,8;967,1;28,8;5,5;1,4;
2005-11-30;16;null;null;25,2;4,7;null;
2005-12-31;23;396,6;966,8;24,4;6,1;1,2;
2006-01-31;16;137,2;967,3;26,1;5,8;1,2;
2006-02-28;13;null;967,7;25,3;7,6;1,1;
2006-03-31;23;287,4;968;25,2;5,6;1;
2006-04-30;1;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;null;null;null;null;null;null;
2006-07-31;null;null;null;null;null;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;

