Nome: GOIAS
Codigo Estacao: A014
Latitude: -15.93972221
Longitude: -50.14138888
Altitude: 512.86
Situacao: Operante
Data Inicial: 2007-07-17
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;2;null;null;null;null;null;
2007-08-31;0;0;956,3;26,3;5,9;1,9;
2007-09-30;0;0;955,1;29,2;7,1;2;
2007-10-31;10;75;952,5;28,2;7;1,5;
2007-11-30;12;null;951,5;26,3;9,2;1,4;
2007-12-31;25;218,6;952,4;24,9;6,3;1,2;
2008-01-31;25;347;952,6;24,4;5,9;1,2;
2008-02-29;22;319,2;953,4;24,5;5,9;1;
2008-03-31;26;230,2;953,3;24,3;5,4;1;
2008-04-30;17;167,8;952,7;24,9;7,8;,9;
2008-05-31;1;12,2;955,6;24,3;4,9;1,1;
2008-06-30;0;0;956,9;23,7;6,8;1,1;
2008-07-31;0;0;957,7;23,9;6,8;1,5;
2008-08-31;1;,6;954,9;26,6;7,6;1,7;
2008-09-30;8;38,4;954,3;27,8;7,6;1,7;
2008-10-31;14;77;953,5;27,7;8,3;1,6;
2008-11-30;20;225,6;952,2;25,5;7;1,2;
2008-12-31;24;459,2;952;24,3;5,9;1,2;
2009-01-31;21;289;953,3;25;5,9;1,2;
2009-02-28;23;276,6;953,2;24,7;7;1,1;
2009-03-31;24;69,8;952,8;25,3;5;1,1;
2009-04-30;28;9,8;954,4;24,5;5,3;1;
2009-05-31;9;4,8;955,5;24;4,7;1;
2009-06-30;2;16,4;957;23,2;6,3;1,2;
2009-07-31;1;,6;956,6;24,5;6,6;1,4;
2009-08-31;3;27,8;955,7;26;7,7;1,8;
2009-09-30;11;103,2;954,8;27,3;5,4;1,2;
2009-10-31;18;258,4;952,6;25,4;6,5;1,2;
2009-11-30;21;249,4;952,5;25,4;5,8;1,1;
2009-12-31;21;557,4;953,1;24,4;6,1;1,2;
2010-01-31;25;73,2;953,6;25,6;5;1,2;
2010-02-28;18;158,6;953,4;26,2;6,6;1,3;
2010-03-31;25;167,8;953,4;25,6;7,9;1,3;
2010-04-30;4;85,2;954,5;25,8;5,7;1,3;
2010-05-31;0;0;954,9;25,2;6,2;1,3;
2010-06-30;1;3,8;957,5;24,4;5,6;1,4;
2010-07-31;1;2,8;957,1;25,5;6,9;2;
2010-08-31;0;0;956,5;26,2;7,3;1,7;
2010-09-30;1;1,4;953,6;29,9;8,4;2,3;
2010-10-31;13;154,6;952,6;27,2;6,2;1,3;
2010-11-30;9;112,4;952;25,1;5,6;1,2;
2010-12-31;null;null;950,8;25,1;6,7;1,1;
2011-01-31;null;null;951,9;24,4;6,3;1;
2011-02-28;13;89,4;953,1;24,8;5;1;
2011-03-31;26;406,4;952,7;24,1;5,3;1,1;
2011-04-30;6;71,4;954,1;25,5;5,7;1,2;
2011-05-31;0;0;955,2;24,8;6,5;1,1;
2011-06-30;2;36;956,4;23,3;5,7;1,1;
2011-07-31;0;0;956,4;24,2;6,3;1,3;
2011-08-31;0;0;955,5;27,1;6,6;1,6;
2011-09-30;2;7,4;955,1;28,5;6,8;1,8;
2011-10-31;12;null;952,8;25,9;7,3;1,4;
