Nome: ALTO PARAISO DE GOIAS
Codigo Estacao: A024
Latitude: -14.13305554
Longitude: -47.52333332
Altitude: 1264.7
Situacao: Operante
Data Inicial: 2007-06-03
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;null;879,1;18,8;7,4;2,5;
2007-07-31;0;0;878,6;19,6;6,9;2,5;
2007-08-31;0;0;878,6;19,6;9,7;3,5;
2007-09-30;0;0;878,3;22,2;8,1;3,2;
2007-10-31;6;78,2;875,6;23,1;6,8;2,5;
2007-11-30;17;null;874;21,2;7,5;2,1;
2007-12-31;21;142,6;874,9;20,8;6,6;2,2;
2008-01-31;18;235,4;874,9;20,7;6,4;2;
2008-02-29;20;265,6;875,6;20,2;6,9;2;
2008-03-31;23;268,2;875,4;20;6,4;2;
2008-04-30;21;208,6;875,1;20,3;5,3;1,9;
2008-05-31;2;3,2;877,3;19;5,9;2,1;
2008-06-30;0;0;878,6;18,2;6,7;2,1;
2008-07-31;0;0;879,4;17,8;8;2,7;
2008-08-31;0;0;877,5;20,3;7,3;2,4;
2008-09-30;8;65,8;877,2;22,3;7,3;2,3;
2008-10-31;5;37,4;876,4;23,3;7,1;2,6;
2008-11-30;21;443;874,7;20,6;5,8;1,8;
2008-12-31;24;377;874,1;19,8;7,1;2,2;
2009-01-31;18;181,2;875,7;20,7;6,1;2;
2009-02-28;null;null;null;null;null;null;
2009-03-31;7;null;null;null;null;null;
2009-04-30;22;290,4;876,5;20;6,2;1,9;
2009-05-31;12;52,4;877,5;18,8;5,8;2,3;
2009-06-30;7;18,8;878,6;18,4;6,3;2,1;
2009-07-31;0;0;878,8;18,9;6,5;1,9;
2009-08-31;5;15,2;878,2;19,8;7,2;2,4;
2009-09-30;9;78,4;877,5;22,2;6,9;2;
2009-10-31;23;217,2;875;20,8;6,4;1,8;
2009-11-30;21;145,8;875;21,1;6,6;1,8;
2009-12-31;22;303,4;875,5;20,4;6;2;
2010-01-31;20;363,4;876;21;5,5;1,6;
2010-02-28;14;76,6;875,9;21,6;8;1,9;
2010-03-31;23;253,8;875,9;21,1;6,1;1,8;
2010-04-30;10;112,4;876,7;20,5;6,3;1,8;
2010-05-31;6;45,6;877;20,5;5,5;1,3;
2010-06-30;0;0;879,4;18,7;7,4;1,8;
2010-07-31;0;0;879,3;18,7;8,6;2,9;
2010-08-31;0;0;878,9;19,5;7,5;2,9;
2010-09-30;1;,4;877,1;22,3;7,8;3,1;
2010-10-31;21;166,4;875,4;22,4;6,1;2;
2010-11-30;23;248,2;874,4;20,2;7,6;1,9;
2010-12-31;null;null;873,3;20,7;7,6;1,9;
2011-01-31;null;null;874,3;20,6;6,2;2,1;
2011-02-28;null;null;875,3;20,5;6;1,5;
2011-03-31;null;null;874,9;20,2;6,4;1,7;
2011-04-30;13;54,2;876,5;20,2;6;2,2;
2011-05-31;3;37,8;877,1;19,1;6,1;2,3;
2011-06-30;0;0;878,2;18,6;7,5;2,1;
2011-07-31;0;0;878,4;18,8;9,1;2,8;
2011-08-31;0;0;878,2;21,1;7,6;2,5;
2011-09-30;0;0;878,2;22,2;8;2,9;
2011-10-31;20;232;875,2;20,3;7,3;2,3;
2011-11-30;24;187;875;19,7;6;2,2;
2011-12-31;23;169,2;875;20,3;6,2;2;
2012-01-31;26;356,2;875,6;19,5;6,3;2;
2012-02-29;16;198,6;875,7;20,1;6,5;2,1;
2012-03-31;13;121,6;876,2;21;5,8;1,7;
2012-04-30;null;null;876,2;21,3;6,6;1,8;
2012-05-31;null;null;877,8;19;6,6;2,3;
2012-06-30;16;null;878,7;19,4;6,8;2,1;
2012-07-31;null;null;878,7;19;8,5;2,4;
2012-08-31;null;0;879,8;19,1;8,8;3,4;
2012-09-30;2;24;878,4;22,5;6,8;2,4;
2012-10-31;12;92,6;875,8;22,7;9,6;2,2;
2012-11-30;23;317,6;874,6;20,4;6,2;2;
2012-12-31;15;114,2;875;21,9;6;1,9;
2013-01-31;26;267,2;875,8;20,2;5,7;2;
2013-02-28;12;107,8;875,7;21,4;6,1;1,9;
2013-03-31;17;175,4;876,2;21,4;7,9;1,7;
2013-04-30;15;100,4;877;20;6,1;1,9;
2013-05-31;2;43,2;877,7;19,8;5,9;2,1;
2013-06-30;5;50,8;878,5;19,2;7;2,3;
2013-07-31;1;1,4;879,2;19,2;5,9;2,2;
2013-08-31;0;0;878,2;20;8;2,3;
2013-09-30;6;149,8;877,5;21,7;7,8;2,7;
2013-10-31;13;87,4;876,5;21,5;6,1;2,1;
2013-11-30;17;267,2;874,8;20,7;7,1;1,9;
2013-12-31;26;250;874,5;20,3;6;2,1;
2014-01-31;17;143,6;876,6;20,8;6,7;2;
2014-02-28;12;144,2;875,7;20,7;7,1;2,1;
2014-03-31;22;207;876,3;20,5;6,3;1,7;
