Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Pane
Data Inicial: 2013-06-23
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;0;null;22,1;7,2;null;
2013-08-31;null;0;null;23,5;7,5;null;
2013-09-30;null;15;null;26,2;6,9;null;
2013-10-31;null;157;null;25,5;8,7;null;
2013-11-30;null;200;null;24,4;6,4;null;
2013-12-31;null;226,2;null;24,2;9,5;null;
2014-01-31;null;177,2;null;24,2;7,2;null;
2014-02-28;null;129,2;null;24,2;8,6;null;
2014-03-31;null;211;null;24,2;8,5;null;
2014-04-30;null;202,4;null;24,3;null;null;
2014-05-31;null;1,8;null;22,7;null;null;
2014-06-30;null;3,4;null;22,4;null;null;
2014-07-31;null;45,4;null;22,1;null;null;
2014-08-31;null;0;null;24,6;null;null;
2014-09-30;null;36;null;26,9;null;null;
2014-10-31;null;86,2;null;27;null;null;
2014-11-30;null;264,8;null;24,8;null;null;
2014-12-31;null;481;null;23,7;6,1;null;
2015-01-31;null;140,4;null;25,8;6,3;null;
2015-02-28;null;233,6;null;24,2;7;null;
2015-03-31;null;null;null;23,6;6,6;null;
2015-04-30;null;null;null;24,3;6,7;null;
2015-05-31;null;131,2;null;22,7;6;null;
2015-06-30;null;3,2;null;22,2;5,6;null;
2015-07-31;null;1;null;22,6;6,6;null;
2015-08-31;null;,2;null;24,3;6,3;null;
2015-09-30;null;10,6;null;27,5;8,2;null;
2015-10-31;null;59,2;null;28,6;10,7;null;
2015-11-30;null;161;null;26,4;null;null;
2015-12-31;null;151,8;null;null;null;null;
2016-01-31;null;495,2;null;24;7,2;null;
2016-02-29;null;103,6;null;25,6;8,8;null;
2016-03-31;null;119,4;null;25,3;7,6;null;
2016-04-30;null;8,2;null;25,7;6,3;null;
2016-05-31;null;,4;null;24,7;5,2;null;
2016-06-30;null;0;null;22,8;6;null;
2016-07-31;null;0;null;23,4;6,9;null;
2016-08-31;null;46,2;null;24,7;8,7;null;
2016-09-30;null;23,6;null;27;10;null;
2016-10-31;null;138,6;null;26,1;8,6;null;
2016-11-30;null;268;null;24,5;11,8;null;
2016-12-31;null;197;null;24,9;6;null;
2017-01-31;null;169,6;null;24,6;5,9;null;
2017-02-28;null;215,2;null;24,4;5,9;null;
2017-03-31;null;132,2;null;24,8;5,8;null;
2017-04-30;null;50,4;null;24,8;5;null;
2017-05-31;null;61,2;null;24,2;6;null;
2017-06-30;null;0;null;22,6;7,1;null;
2017-07-31;null;0;null;20,9;6,8;null;
2017-08-31;null;0;null;25,2;6,6;null;
2017-09-30;null;32;null;26,6;12,2;null;
2017-10-31;null;53,6;null;27,6;6,6;null;
2017-11-30;null;270,8;null;25;8;null;
2017-12-31;null;359,4;null;24,2;6,7;null;
2018-01-31;null;203,8;null;24,5;6,7;null;
2018-02-28;null;215;null;24,5;7,6;null;
2018-03-31;null;227;null;24,9;9,2;null;
2018-04-30;null;null;null;24;4,5;null;
2018-05-31;null;null;null;22,5;5,2;null;
2018-06-30;null;null;null;22,4;5,5;null;
2018-07-31;null;0;null;22,5;5,4;null;
2018-08-31;null;16;null;25,1;6;null;
2018-09-30;null;74,2;null;26;7,8;null;
2018-10-31;null;150,8;null;25,9;7,4;null;
2018-11-30;null;null;null;null;6,7;null;
2018-12-31;null;350;null;24,9;5,9;null;
2019-01-31;null;126,2;null;25,5;4,6;null;
2019-02-28;null;360,8;null;24,7;6,9;null;
2019-03-31;null;231,4;null;24,9;5,9;null;
2019-04-30;null;126,4;null;24,6;4,8;null;
2019-05-31;null;37,8;null;23,6;4,8;null;
2019-06-30;null;0;null;22,1;5,6;null;
2019-07-31;null;5;null;21,9;5,3;null;
2019-08-31;null;0;null;25,1;6,1;null;
2019-09-30;null;9,4;null;28,5;6,3;null;
2019-10-31;null;76,4;null;27,1;6,6;null;
2019-11-30;null;180,8;null;25,6;8,7;null;
2019-12-31;null;220,4;null;25,2;5,7;null;

