Nome: EDEIA
Codigo Estacao: A029
Latitude: -17.33694444
Longitude: -49.91472222
Altitude: 608
Situacao: Operante
Data Inicial: 2017-08-25
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;1;null;null;null;null;null;
2017-09-30;3;null;946;26,6;8,8;3,2;
2017-10-31;6;70;942,8;28;8,5;2,6;
2017-11-30;18;188,8;942;24,9;10,1;2,4;
2017-12-31;20;359,4;942,3;24,4;8,4;2;
2018-01-31;18;276,4;943,2;25;10,8;1,7;
2018-02-28;17;224,6;942,7;24,8;7;1,8;
2018-03-31;15;271,4;943,2;25,7;9,8;1,7;
2018-04-30;8;50;945,7;23,7;9;1,8;
2018-05-31;2;14,2;947;22,6;6,9;2,1;
2018-06-30;null;0;947,9;23,2;6,7;1,9;
2018-07-31;0;0;947,8;23,2;7,5;2,2;
2018-08-31;2;1;947;24,5;8,9;2,3;
2018-09-30;6;35,4;943,9;26,1;8,7;2,3;
2018-10-31;15;186;943,1;26,1;9,2;1,9;
2018-11-30;20;179,8;942,6;24,5;8,8;2,1;
2018-12-31;18;234,8;943,7;25,5;10,7;1,9;
2019-01-31;8;null;null;null;12,5;null;
2019-02-28;17;192,4;943,6;25,4;7,1;1,9;
2019-03-31;13;113;944,7;25,2;6,4;1,8;
2019-04-30;11;284,8;944,7;24,8;6,1;1,3;
2019-05-31;6;34,6;945,6;24;5,6;1,5;
2019-06-30;0;0;948,4;22,7;6,7;2,1;
2019-07-31;1;2;947,9;22,4;9,2;2,4;
2019-08-31;2;4,2;948,2;24,9;9,1;2,7;
2019-09-30;2;8,8;944,4;29;8,5;2,5;
2019-10-31;13;99,8;943,1;27,4;8,2;2,2;
2019-11-30;15;236;942,1;26,2;7,5;2;
2019-12-31;21;230,8;942,9;25,2;6,9;1,8;

