Nome: SAO MIGUEL DO ARAGUAIA
Codigo Estacao: A031
Latitude: -12.82055554
Longitude: -50.33583333
Altitude: 210
Situacao: Operante
Data Inicial: 2017-06-28
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;0;991,7;24,3;8,3;null;
2017-08-31;null;0;987,4;27,8;8,3;null;
2017-09-30;null;0;987,1;28,9;9,5;null;
2017-10-31;null;79;984,6;29,8;10,3;null;
2017-11-30;null;null;984,8;26,7;9,4;null;
2017-12-31;null;383,4;985,6;26,1;9,8;null;
2018-01-31;null;156;986,1;26,6;7,9;null;
2018-02-28;null;261;985,9;25,9;7,9;null;
2018-03-31;null;214,8;986,3;26,2;8,5;null;
2018-04-30;null;52,2;987,6;26,5;6;null;
2018-05-31;null;38;988,4;26,6;9,5;null;
2018-06-30;null;0;989,6;25,8;6,2;null;
2018-07-31;null;0;989,5;25,6;6,1;null;
2018-08-31;null;72,2;988,4;27,8;9,6;null;
2018-09-30;null;19,6;985,5;29,1;8,5;null;
2018-10-31;null;84,4;985,5;28;11,3;null;
2018-11-30;null;250,8;985,5;26,3;8,2;null;
2018-12-31;null;177,2;986,9;26,5;12,2;null;
2019-01-31;null;88;987,6;27,1;10,4;null;
2019-02-28;null;234;986,7;26,9;8,4;null;
2019-03-31;null;238,8;987,2;26,6;8,6;null;
2019-04-30;null;63,2;987;27,3;8,5;null;
2019-05-31;null;77,2;987;27,7;6,7;null;
2019-06-30;null;,2;989,8;26,1;8;null;
2019-07-31;null;0;989,5;25,9;8,3;null;
2019-08-31;null;null;null;26,9;10,2;null;
2019-09-30;null;null;null;null;8,9;null;
2019-10-31;null;null;null;null;4,9;null;
2019-11-30;null;null;null;null;5,2;null;
2019-12-31;null;null;null;null;7;null;

