Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2017-07-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;0;889,7;22,9;8,2;2,9;
2017-09-30;1;null;890,1;22,6;7,5;3,6;
2017-10-31;3;28,4;887,2;25,2;8,2;3,1;
2017-11-30;19;299,4;886,2;21,7;7,1;2,3;
2017-12-31;21;294,6;886,5;21,4;8,3;2,1;
2018-01-31;19;167,2;887,2;21,8;7,9;2,1;
2018-02-28;20;139;886,7;21,5;7;2,2;
2018-03-31;20;323,8;887,3;21,8;6;1,9;
2018-04-30;14;107,2;889;20,8;5,8;2,1;
2018-05-31;1;58,4;890,1;20,4;6,5;2,5;
2018-06-30;null;0;891,1;20,4;5,8;2,4;
2018-07-31;0;0;891;20,4;6,2;2,5;
2018-08-31;5;11,4;890,4;22,5;8,1;2,5;
2018-09-30;7;44,6;887,8;23,9;7,1;2,5;
2018-10-31;17;196,4;887,1;23,3;6,2;2;
2018-11-30;23;513,8;886,8;21;7,4;2,2;
2018-12-31;16;161,2;887,9;21,6;8,4;2,4;
2019-01-31;9;null;null;22,5;7,8;null;
2019-02-28;21;131,8;887,8;22,3;7,6;1,9;
2019-03-31;21;333,2;888,4;21,7;5,7;1,6;
2019-04-30;13;247;888,5;21,8;6,8;1,5;
2019-05-31;7;128,2;889;22;5,5;2;
2019-06-30;1;1;891,5;20,2;6,8;2,6;
2019-07-31;0;0;891,1;20,1;7,3;2,7;
2019-08-31;null;0;891,6;22,1;8,8;2,8;
2019-09-30;1;1;889;25,1;7,7;2,6;
2019-10-31;12;73,6;887,3;24,5;6,3;2,2;
2019-11-30;17;176,2;886,3;22,9;7;2,1;
2019-12-31;9;null;887;22,9;7,9;2,2;

