Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-07-31;1;null;null;null;null;null;
2016-08-31;1;11,2;989,2;27,4;8,3;2,1;
2016-09-30;11;144,2;988,8;27;11,9;2,1;
2016-10-31;10;95,8;987,2;26,4;null;null;
2016-11-30;16;147;986,4;26,1;null;null;
2016-12-31;15;101,4;987,3;25,6;null;null;
2017-01-31;21;179;988,1;25,3;null;null;
2017-02-28;18;328,8;988,2;25;null;null;
2017-03-31;25;355;988,2;25,7;null;null;
2017-04-30;23;188,2;988,3;25,8;null;null;
2017-05-31;13;57,6;988,7;26,6;null;null;
2017-06-30;4;23,6;989,6;25,7;7,7;2;
2017-07-31;0;0;991,6;25,7;8,1;2,7;
2017-08-31;2;49;988,8;27,6;7,9;2;
2017-09-30;1;1,2;988,3;28,5;7,8;2,6;
2017-10-31;7;29,8;986,7;27,8;11,3;2,3;
2017-11-30;7;null;null;null;8,6;null;
2017-12-31;18;227,2;987,2;25,3;null;null;
2018-01-31;24;211,4;987,8;24,9;null;null;
2018-02-28;23;234,8;988;24,8;null;null;
2018-03-31;28;410,2;988;25,3;null;null;
2018-04-30;19;148,6;988,8;25,6;null;null;
2018-05-31;8;58,2;989,3;26;6,9;null;
2018-06-30;0;0;990,3;25,7;7;2;
2018-07-31;0;0;989,9;26,5;7;2,1;
2018-08-31;5;48,4;989,9;26,7;6,8;1,9;
2018-09-30;9;74,4;987,5;26,9;7,5;1,9;
2018-10-31;10;179,8;987,3;26,7;8,7;1,9;
2018-11-30;16;278,2;986,8;25,8;10,5;1,9;
2018-12-31;16;185,8;988,7;25,4;6,9;1,8;
2019-01-31;22;333;989,2;24,9;null;null;
2019-02-28;21;222,8;988,5;25,5;null;null;
2019-03-31;22;443,4;989;25,6;null;null;
2019-04-30;20;263,6;988,6;25,9;null;null;
2019-05-31;5;null;null;null;9,5;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;12;null;null;25,9;6,8;null;
2019-11-30;18;170,2;986,6;25,6;12,1;1,7;
2019-12-31;15;114,8;987;25,9;8;1,8;

