Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2016-11-10
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;13;null;null;26,3;7,6;null;
2016-12-31;19;143,8;985,1;25,9;6,6;1,6;
2017-01-31;23;249,2;985,9;25,3;8,9;1,5;
2017-02-28;22;null;986,2;25,3;6,9;1,6;
2017-03-31;24;266,8;986;25,9;8,6;1,5;
2017-04-30;21;103,8;986,1;26,1;6,7;1,4;
2017-05-31;6;22;986,7;26,5;6,9;1,5;
2017-06-30;1;9,8;987,7;25,2;5,7;1,7;
2017-07-31;0;0;989,9;24,7;6,1;2;
2017-08-31;3;6,8;986,8;27,4;6,7;1,9;
2017-09-30;1;null;986,3;28,7;7,2;2,1;
2017-10-31;6;52,8;984,5;28,1;6,9;2;
2017-11-30;17;291,2;984,5;26,5;8,1;1,7;
2017-12-31;21;337;985,1;25,4;6,1;1,6;
2018-01-31;24;355;985,7;25,2;9,8;1,6;
2018-02-28;25;385,4;985,8;25,2;7,6;1,6;
2018-03-31;29;321,2;985,9;25,7;7,4;1,5;
2018-04-30;16;129,6;986,8;25,6;5,6;1,5;
2018-05-31;4;17,2;987,3;26;5,7;1,6;
2018-06-30;2;1,2;988,4;24,9;6,3;1,6;
2018-07-31;2;,4;988,2;25,3;5,9;1,7;
2018-08-31;7;83,2;987,8;26,6;8,7;1,7;
2018-09-30;6;28,8;985,3;27,4;6,9;1,9;
2018-10-31;12;107,6;985,2;26,8;7,9;1,7;
2018-11-30;17;118,6;984,8;26,1;7,9;1,6;
2018-12-31;null;null;null;null;8,4;null;
2019-01-31;null;null;null;null;8,8;null;
2019-02-28;5;null;null;null;7,2;null;
2019-03-31;21;324,8;986,9;25,8;6,1;1,5;
2019-04-30;19;257,8;986,6;26,2;7,7;1,4;
2019-05-31;3;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;3;null;988,7;25,5;6,1;1,8;
2019-08-31;null;0;988,7;26,4;7,1;1,9;
2019-09-30;4;52,4;986,2;28,5;7,7;2;
2019-10-31;15;99,4;985,3;26,3;9,4;1,7;
2019-11-30;13;180,6;984,5;26;6,9;1,5;
2019-12-31;13;131,2;984,8;26,2;8,1;1,6;

