Nome: ALMAS
Codigo Estacao: A053
Latitude: -11.28416666
Longitude: -47.21222222
Altitude: 503
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;
2016-04-30;5;19,6;953,9;26,7;6,3;1,4;
2016-05-31;3;12,4;955,6;26,7;5,2;1,3;
2016-06-30;4;21,6;957,2;25,6;5;1,5;
2016-07-31;0;0;956,7;25,6;5,7;1,7;
2016-08-31;2;1;955,5;27,9;6,3;2;
2016-09-30;6;86,6;954,7;28,5;8,3;2;
2016-10-31;9;66,6;952,9;27,6;6,5;1,8;
2016-11-30;15;123;952,3;27,2;6,1;1,7;
2016-12-31;19;167,2;953,1;25,4;9;1,5;
2017-01-31;19;142,4;953,5;24,9;6,8;1,4;
2017-02-28;19;204,4;953,9;23,9;5,5;1,5;
2017-03-31;22;185,8;953,7;24,7;7,7;1,3;
2017-04-30;20;163;954,1;25,6;5,3;1,3;
2017-05-31;3;15,2;954,9;25,7;5,1;1,2;
2017-06-30;1;3,8;956,3;24,4;4,9;1,4;
2017-07-31;0;0;958,9;22,8;5,1;1,7;
2017-08-31;0;0;955,4;26,7;6,1;1,6;
2017-09-30;null;null;null;null;5,8;null;
2017-10-31;null;null;null;null;5,7;null;
2017-11-30;1;null;null;null;6;null;
2017-12-31;21;335,2;953;24,6;7,4;1,6;
2018-01-31;18;158;953,5;24,6;7,1;1,5;
2018-02-28;23;341,6;953,4;24,3;5,8;1,4;
2018-03-31;27;270;953,7;24,7;5,3;1,4;
2018-04-30;19;157,2;954,9;24,7;6,8;1,3;
2018-05-31;2;3,2;955,7;24,9;4,6;1,3;
2018-06-30;0;0;957;24,1;4,2;1,4;
2018-07-31;0;0;956,8;24;5,1;1,4;
2018-08-31;2;1,4;956,2;26,8;6,4;1,8;
2018-09-30;2;13;953,2;28,6;6,9;1,9;
2018-10-31;16;138,2;952,9;27,1;10,1;1,6;
2018-11-30;24;172,6;952,9;25,1;6,1;1,5;
2018-12-31;18;175;954,5;24,8;6,2;1,6;
2019-01-31;17;218,6;954,8;25;6,2;1,4;
2019-02-28;21;103;954,1;24,8;7,3;1,3;
2019-03-31;27;223,4;954,6;24,6;5,4;1,4;
2019-04-30;18;253,4;954,4;25,1;5,8;1,2;
2019-05-31;6;135,4;954,5;25,5;7,7;1,1;
2019-06-30;0;0;957,1;24,1;5,6;1,4;
2019-07-31;0;0;956,9;23,9;4,6;1,4;
2019-08-31;0;0;957,4;26,1;6,2;1,8;
2019-09-30;2;31,8;954,4;28,6;6,3;1,9;
2019-10-31;12;36,2;953;27,6;6,8;1,7;
2019-11-30;25;212;952,2;25,8;9,1;1,4;
2019-12-31;17;207,2;952,6;26,1;5,1;1,4;

