Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2015-08-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;2;28,6;984,5;28,7;8,3;1,9;
2015-10-31;8;21,4;984,1;29,2;11,5;2;
2015-11-30;15;124,2;983,6;27,7;9,9;1,8;
2015-12-31;11;134,6;984,9;28,2;14,3;1,8;
2016-01-31;26;610,4;985,1;25,8;9,1;2,2;
2016-02-29;6;37,4;985,2;27,9;8,3;1,7;
2016-03-31;16;279,2;986;27,2;6,6;1,6;
2016-04-30;6;28,8;985,1;27,6;7,7;1,6;
2016-05-31;2;,4;986,9;26,8;5,7;1,5;
2016-06-30;2;18,4;988,6;25,3;7;1,7;
2016-07-31;0;0;988;24,8;7;1,8;
2016-08-31;0;0;986,5;27;7,1;1,9;
2016-09-30;3;58,4;985,6;28,7;8,5;1,9;
2016-10-31;13;123,8;984;28,1;10,3;2;
2016-11-30;18;169,4;983,4;27,4;8,8;2;
2016-12-31;20;198,8;984,4;26,7;8,6;1,8;
2017-01-31;16;156,2;984,9;26,4;8,1;1,7;
2017-02-28;23;315,2;985,2;25,4;9,4;1,9;
2017-03-31;15;71,8;985;26,5;6,6;1,5;
2017-04-30;null;null;null;null;5,3;null;
2017-05-31;3;null;null;null;5,3;null;
2017-06-30;0;0;987,6;25,1;5,4;1,8;
2017-07-31;0;0;990,4;22,9;6,7;1,9;
2017-08-31;0;0;986,3;26,4;7,2;1,9;
2017-09-30;0;0;986,2;27,9;7,5;2,3;
2017-10-31;5;75;983,4;29,2;7,3;2,2;
2017-11-30;18;351;983,7;26,5;8,1;1,8;
2017-12-31;23;232,4;984,3;26;10,3;1,8;
2018-01-31;17;143,8;984,8;26,2;8,4;1,7;
2018-02-28;16;429,6;984,6;25,7;8,5;1,8;
2018-03-31;23;331;984,9;25,9;6,6;1,6;
2018-04-30;14;114;986,2;25,7;6;1,4;
2018-05-31;4;5,2;987,1;25,5;5,9;1,6;
2018-06-30;null;0;988,3;24,3;5,8;1,7;
2018-07-31;null;0;988,3;23,8;5,1;1,6;
2018-08-31;1;null;null;26,3;6,4;null;
2018-09-30;null;null;null;null;6,6;null;
2018-10-31;null;null;984,2;null;7,3;2;
2018-11-30;null;null;null;null;5,3;null;
2018-12-31;null;null;null;null;6,3;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;0;988,4;24,4;6,6;1,8;
2019-08-31;0;0;988,3;26,3;7,1;2;
2019-09-30;2;16,4;985;28,7;7,7;2,1;
2019-10-31;11;133,6;984,2;28,1;11,8;2;
2019-11-30;17;186,8;983,5;27,1;9,5;1,8;
2019-12-31;16;149,8;983,9;27,2;10,1;1,8;

