Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-01-31;1;null;null;null;null;null;
2018-02-28;18;272,4;907,1;21,9;10,6;2;
2018-03-31;13;99,6;907,6;23,1;7,3;2;
2018-04-30;12;87,6;909,8;21,3;6,4;1,8;
2018-05-31;2;15,4;911;19,5;8,4;1,6;
2018-06-30;null;0;912;19,4;6,6;1,5;
2018-07-31;0;0;911,9;18,8;7,3;1,6;
2018-08-31;4;4,6;911,2;21,6;6,8;2,2;
2018-09-30;5;62,4;908,3;23,1;10,3;2,4;
2018-10-31;14;146;907,4;24,1;9,8;2,6;
2018-11-30;20;326,8;907,3;21,8;7,9;2,5;
2018-12-31;14;267;908,2;22,6;8,4;2,3;
2019-01-31;9;60,8;909,4;23,1;8,3;1,8;
2019-02-28;14;153;908;23,2;9,7;2;
2019-03-31;17;211,8;908,8;22,8;8,3;1,9;
2019-04-30;14;125;908,9;22,4;8,6;1,5;
2019-05-31;6;83,6;909,6;21,2;5,5;1,3;
2019-06-30;1;3,8;912,5;18,8;6,4;1,8;
2019-07-31;1;1,4;912,1;18,4;7,2;2;
2019-08-31;null;0;912,6;20,9;7,7;2,1;
2019-09-30;4;8,6;909,5;23,8;8,8;2,6;
2019-10-31;7;61,8;907,6;24,9;9,5;2,6;
2019-11-30;16;173;906,5;23,8;12,3;2,4;
2019-12-31;17;165,2;907,3;23,2;7,1;1,9;

