Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2000-05-08
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-05-31;11;null;null;26,2;null;null;
2000-06-30;18;48;1004,9;26,4;null;1;
2000-07-31;14;40,2;1005,2;25,8;null;1,1;
2000-08-31;11;125,8;1004,8;26,9;null;1,1;
2000-09-30;10;191,8;1003,5;27,2;null;1,2;
2000-10-31;11;null;1003,3;26,9;7,3;1,1;
2000-11-30;12;171,6;1001,3;27,2;7,9;1,3;
2000-12-31;7;null;null;null;5,2;null;
2001-01-31;2;null;null;null;5,8;null;
2001-02-28;4;null;null;null;null;null;
2001-03-31;20;212,2;1004;26,2;6,4;1,3;
2001-04-30;21;191,2;1004,4;25,9;4,5;1,1;
2001-05-31;16;200,4;1004,4;26,6;4,3;1;
2001-06-30;15;147;1006,5;25,1;5,3;1,1;
2001-07-31;3;null;null;null;null;null;
2001-08-31;5;15,4;1005,8;28;4;1,1;
2001-09-30;8;79,8;1003,9;27,6;4,1;1,2;
2001-10-31;8;30;1002,9;28,6;4,4;1,4;
2001-11-30;5;null;null;27,8;4,1;null;
2001-12-31;null;null;null;null;3,7;null;
2002-01-31;null;null;null;null;5,4;null;
2002-02-28;1;null;null;null;4,5;null;
2002-03-31;13;null;null;26,6;5,5;null;
2002-04-30;22;315,8;1003,4;26,1;3,9;1,2;
2002-05-31;22;252,2;1004,2;26,3;3,9;1;
2002-06-30;16;131;1005,9;26,1;6,8;1;
2002-07-31;null;null;null;null;null;null;
2002-08-31;null;null;null;null;null;null;
2002-09-30;8;62,4;1003,9;28,4;4,1;1,3;
2002-10-31;10;null;null;27,4;4,5;null;
2002-11-30;null;null;null;null;3,9;null;
2002-12-31;null;null;null;null;4,3;null;
2003-01-31;null;null;null;null;5,5;null;
2003-02-28;2;null;null;null;4,8;null;
2003-03-31;4;null;null;null;4,6;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;null;null;null;null;3,1;null;
2003-06-30;null;null;null;null;3,6;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;3,7;null;
2003-12-31;null;null;null;null;3,9;null;
2004-01-31;null;null;null;null;3,7;null;
2004-02-29;null;null;null;null;3,8;null;
2004-03-31;13;null;null;25,7;4,8;null;
2004-04-30;19;null;1003,7;26;5,6;1,2;
2004-05-31;10;null;null;26,4;3,6;null;
2004-06-30;12;null;1006,6;26,3;5,1;1,1;
2004-07-31;13;null;1005,3;26,3;5;,9;
2004-08-31;6;null;1006,1;27;4,7;1;
2004-09-30;7;null;1004,1;26,7;5,4;1,1;
2004-10-31;4;null;1003;27,5;5,4;1,2;
2004-11-30;3;null;null;null;4,4;null;
2004-12-31;3;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;3;null;null;null;null;null;
2005-07-31;10;52,4;1006,2;28,1;4,3;1,1;
2005-08-31;5;17,6;1004,8;29,1;4,4;1,1;
2005-09-30;10;47,8;1004,2;29,3;5;1,4;
2005-10-31;7;null;1002,8;29,4;5,4;1,4;
2005-11-30;9;null;1001,6;28;5,4;1,3;
2005-12-31;21;283,8;1002,3;26,9;4,5;1,2;
2006-01-31;20;null;1002,5;27,3;6;1,3;
2006-02-28;16;null;1003,2;27,1;4,5;1,2;
2006-03-31;22;251,2;1003,8;27,2;5,2;1,1;
2006-04-30;16;null;1003,4;27,2;4;1,1;
2006-05-31;12;null;null;26,7;3,4;null;
2006-06-30;12;83,4;1005,4;27,7;4,4;1;
2006-07-31;8;68,2;1005,8;28,1;5,3;1;
2006-08-31;4;17;1004,6;28,9;4,9;1,2;
2006-09-30;8;33,2;1004,3;29,3;4,8;1,3;
2006-10-31;7;62,4;1002,2;30;4,4;1,3;
2006-11-30;20;276,6;1002,4;27,8;4,5;1,2;
2006-12-31;11;262,2;1003,2;28,3;4,2;1,1;
2007-01-31;26;377;1003,2;27,2;4,6;,9;
2007-02-28;13;133,4;1003,7;28,6;4,3;1,5;
2007-03-31;27;321,8;1003,6;27;4,3;1;
2007-04-30;23;327,4;1004,4;27,3;3,5;,9;
2007-05-31;22;161;1004,5;27,5;3,8;,9;
2007-06-30;14;96,4;1005,5;27,6;3,9;,9;
2007-07-31;11;110,2;1005,5;27,9;6,1;,9;
2007-08-31;11;126,4;1004,5;27,9;5;,9;
2007-09-30;8;67,6;1004,7;28,3;3,6;1;
2007-10-31;9;28,8;1002,8;28,7;3,9;1,2;
2007-11-30;12;212,2;1001,6;29;5,2;1,2;
2007-12-31;22;299,6;1002,6;27,2;4,5;1;
2008-01-31;26;377,6;1003;26,7;4,1;,9;
2008-02-29;23;289,2;1004,1;26,8;4;1;
2008-03-31;22;500,6;1004,2;26,4;5,5;1,1;
2008-04-30;21;328,6;1003,1;27,2;4,8;,9;
2008-05-31;21;254,2;1004,7;26,9;3,5;,8;
2008-06-30;15;193,6;1005,5;27;5,5;,7;
2008-07-31;7;77,2;1005,5;27,9;4,2;,9;
2008-08-31;null;null;null;null;null;null;
2008-09-30;2;null;null;null;null;null;
2008-10-31;null;null;null;null;null;null;
2008-11-30;null;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;1;null;null;null;null;null;
2010-02-28;24;328,6;1000,9;26,8;5,3;1,5;
2010-03-31;13;null;1002,3;27,6;4,7;1,5;
2010-04-30;25;284,6;1002,1;26,4;5,3;1,4;
2010-05-31;18;148;1003,4;27;4,2;1,4;
2010-06-30;16;105,4;1005,2;26,8;4,9;1,2;
2010-07-31;11;90;1004,9;26,7;3,9;1,5;
2010-08-31;8;50,4;1004,4;27,9;4,3;1,4;
2010-09-30;5;24,6;1002,6;29;4,6;1,6;
2010-10-31;15;109,4;1002,3;28,3;6;1,6;
2010-11-30;14;128,4;1001,3;27,3;5;1,6;
2010-12-31;17;229,4;1001,3;26,8;5,4;null;
2011-01-31;21;192;1002,6;26,2;5,1;1,5;
2011-02-28;24;430,8;1003,7;25,9;4,1;1,4;
2011-03-31;19;267,8;1003,5;26,3;4,3;1,3;
2011-04-30;25;452,2;1004,2;26,2;3,8;1,3;
2011-05-31;21;197,2;1004;26,9;4,5;1,3;
2011-06-30;12;108,2;1005;27,9;4,5;1,5;
2011-07-31;7;19,6;1005,1;28,5;4,4;1,6;
2011-08-31;5;51,8;1005,3;29,3;4,4;1,6;
2011-09-30;8;38;1005,1;28,7;4,5;1,4;
2011-10-31;19;253,4;1002,5;28,2;5,1;1,3;
2011-11-30;19;241,6;1002,5;27,7;3,9;1,4;
2011-12-31;18;177,6;null;27,6;5,1;1,3;
2012-01-31;25;344,2;1003,7;26;4,5;1,3;
2012-02-29;23;267,4;1003,5;25,7;5,1;1,4;
2012-03-31;24;253,8;1004,3;26,1;4,2;1,3;
2012-04-30;16;177,4;1004;26,7;5,1;1,3;
2012-05-31;16;162,6;1004,7;27,1;4,6;1,3;
2012-06-30;9;77,2;1005,9;27,7;4,8;1,5;
2012-07-31;14;78;1005,7;27,4;4,5;1,3;
2012-08-31;9;23,8;1005,7;28,6;4,6;1,4;
2012-09-30;10;76,4;1005,4;28,8;5,1;1,4;
2012-10-31;13;149,4;1002,8;29;4,5;1,5;
2012-11-30;11;267;1002,2;28,8;3,8;1,3;
2012-12-31;20;247,4;1002,6;26,8;4,2;1,5;
2013-01-31;23;279;1004;27;4,5;1,4;
2013-02-28;24;296,6;1003,5;26,1;4;1,3;
2013-03-31;24;279,2;1004,1;26,5;5,5;1,3;
2013-04-30;23;358,8;1004,6;27,1;4,6;1,4;
2013-05-31;23;203,4;1005,1;26,9;4,4;1,3;
2013-06-30;7;null;1005,1;28,3;5,6;1,5;
2013-07-31;17;136,2;1006,6;27,2;4,6;1,4;
2013-08-31;9;45,2;1005,2;28;3,7;1,4;
2013-09-30;9;102,4;1004,6;28,5;5,8;1,5;
2013-10-31;10;155,6;1003,5;28,9;4,7;1,5;
2013-11-30;22;263;1002,3;27;6,1;1,5;
2013-12-31;15;88,6;1003;28,4;4,3;1,4;
2014-01-31;19;215,2;1003,9;27,3;4,7;1,6;
