Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Pane
Data Inicial: 2008-08-04
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;null;null;null;null;null;null;
2008-09-30;5;null;991,7;24,9;3,2;,5;
2008-10-31;19;136,8;990,3;25,5;3,2;,5;
2008-11-30;21;251,4;988,6;25,2;3,1;,3;
2008-12-31;27;378,2;988,7;24,9;2,5;,3;
2009-01-31;26;252,8;990,2;24,8;3,2;,3;
2009-02-28;24;244,4;989,4;24,6;2,7;,3;
2009-03-31;25;51,8;989,5;24,7;2,6;,3;
2009-04-30;30;329,2;990,9;24,9;2,7;,3;
2009-05-31;14;null;null;25,1;2,7;null;
2009-06-30;14;69,2;993,2;23,5;2,7;,4;
2009-07-31;15;26,4;992,6;23,7;3,4;,4;
2009-08-31;14;70,8;991,4;24,6;2,8;,4;
2009-09-30;6;79,4;991,3;25,6;3,8;,6;
2009-10-31;15;104,8;988,8;26;4,2;,5;
2009-11-30;22;314,8;987,4;25,8;4,4;,4;
2009-12-31;25;407;989,2;25,2;3,7;,4;
2010-01-31;26;312,6;989,3;25,4;3;,5;
2010-02-28;19;null;null;25,9;3,1;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;null;null;null;null;null;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;null;null;null;null;null;null;
2012-05-31;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;9;null;null;25,7;6,2;null;
2012-11-30;13;null;null;25,5;5,3;null;
2012-12-31;null;null;null;null;null;null;
2013-01-31;24;427,8;993,5;25,1;4,4;,7;
2013-02-28;24;194,8;987,5;24,9;6,2;,6;
2013-03-31;28;484,6;988,3;25,2;5,4;,6;
2013-04-30;11;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;
2013-12-31;null;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;9;null;null;null;null;null;
2014-08-31;20;23,2;991,9;24;4,8;,8;
2014-09-30;18;119,8;989,9;25,3;5,5;,9;
2014-10-31;26;203,4;989,5;24,9;6;,9;
2014-11-30;24;369,6;988,2;24,9;4,8;,9;
2014-12-31;30;369;988,5;25;5,2;1;
2015-01-31;27;303,2;990,4;24,5;5,2;,8;
2015-02-28;25;277,8;989,4;24,9;4;,8;
2015-03-31;24;411,2;989,5;24,9;4,3;,8;
2015-04-30;28;202,6;990,3;24,9;4,9;,8;
2015-05-31;24;105;991,2;24,5;4,7;,8;
2015-06-30;null;null;992,4;24,2;4,1;,7;
2015-07-31;27;25;992,1;24,1;5,5;,8;
2015-08-31;23;103,6;990,5;25,7;4,4;,8;
2015-09-30;16;112;989,6;25,9;5,8;,8;
2015-10-31;15;57,4;989,6;26,1;4,5;1,1;
2015-11-30;21;182,4;988;26;5;1;
2015-12-31;27;226,2;989,8;25,5;3,9;,9;
2016-01-31;26;225,6;988,6;26,1;5,1;,7;
2016-02-29;19;150,6;989,4;25,8;5,9;,6;
2016-03-31;6;25,4;990,6;25,9;4,5;,8;
2016-04-30;1;67,2;990,3;25,3;6,6;,9;
2016-05-31;1;39,8;992,5;24,3;3,6;,9;
2016-06-30;1;8,8;994,2;23;4,6;,9;
2016-07-31;null;null;992,5;24;4,1;,6;
2016-08-31;1;14,2;991,6;24,7;5,5;,6;
2016-09-30;2;43,8;992;24,5;5,3;,6;
2016-10-31;null;null;989,2;25,3;4,8;,5;
2016-11-30;null;null;988,1;25,4;5,3;,6;
2016-12-31;null;null;988,8;25,2;4,1;,5;
2017-01-31;null;null;989,9;24,5;4,2;,3;
2017-02-28;null;null;989,3;25;4,4;,4;
2017-03-31;null;null;989,7;24,7;4;,3;
2017-04-30;null;null;990,5;24,8;4,6;,4;
2017-05-31;null;null;990,9;25,2;4,5;,3;
2017-06-30;null;null;null;null;4,4;null;
2017-07-31;null;null;994,1;22,6;5,1;,5;
2017-08-31;null;null;991;25,2;4,6;,5;
2017-09-30;null;null;991;25,4;4,6;,4;
2017-10-31;null;null;989,2;25,8;5,2;,6;
2017-11-30;null;null;987,9;25,5;5,3;,4;
2017-12-31;null;null;988,4;25,2;3,9;,4;
2018-01-31;null;null;989,2;25,1;4,2;,4;
2018-02-28;null;null;989,1;24,8;4,6;,3;
2018-03-31;null;null;989,4;25;5,4;,4;
2018-04-30;null;null;null;null;4,1;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;3,8;null;
2018-07-31;null;null;null;null;3,7;null;
2018-08-31;null;null;null;null;3;null;
2018-09-30;null;null;989,8;25,4;4,2;,5;
2018-10-31;null;null;988,8;25,9;5,2;,3;
2018-11-30;null;null;988,1;25,4;6;,4;
2018-12-31;null;null;990,2;25,1;3,6;,4;
2019-01-31;null;null;990,3;25,3;4,6;,3;
2019-02-28;null;null;null;null;3,6;null;
2019-03-31;null;null;null;null;4,2;null;
2019-04-30;null;null;null;null;3,8;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;2;null;null;24,8;2,9;null;
2019-07-31;7;37,4;993,2;23,2;3,8;,8;
2019-08-31;4;39;993,6;23,7;5,2;,8;
2019-09-30;14;102,8;990,8;26;5,1;,9;
2019-10-31;22;131,4;990,1;24,9;5,2;,8;
2019-11-30;20;236,4;988,3;25,1;5;,7;
2019-12-31;25;291,2;989;25,1;5,3;,7;

