Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2007-10-13
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;2;null;null;null;null;null;
2007-11-30;null;null;null;null;4,9;null;
2007-12-31;16;null;1004,2;26;4,9;1;
2008-01-31;27;488,2;1004,9;25,3;5,5;1;
2008-02-29;26;422,6;1005,9;25,2;7,1;,9;
2008-03-31;23;null;1005,8;25;4,8;,8;
2008-04-30;29;596;1005;25,3;5,2;,9;
2008-05-31;22;294,2;1006,1;25,6;3,9;,8;
2008-06-30;16;103,4;1007,1;25,7;3,9;,8;
2008-07-31;6;40,6;1007,6;25,7;6,3;1;
2008-08-31;5;16,4;1005,9;26,5;4,8;1,2;
2008-09-30;10;29,2;1006,3;26,6;7,6;1,3;
2008-10-31;11;30,4;1005,4;27;7,1;1,4;
2008-11-30;10;112,4;1004,2;27;6,3;1,2;
2008-12-31;12;null;1004,5;26,8;5,5;1,1;
2009-01-31;24;253;1005,6;25,6;5,6;1;
2009-02-28;25;375,2;1005,2;25,4;5,7;1;
2009-03-31;29;638,6;1005,2;25,3;5,5;,9;
2009-04-30;16;null;null;25,4;3,8;null;
2009-05-31;31;457,2;1006,8;25,4;4,2;,8;
2009-06-30;22;208,4;1007,4;25,8;4,6;,9;
2009-07-31;9;null;1007,4;26;4,2;1,1;
2009-08-31;8;8,8;1006,8;26,4;5;1,3;
2009-09-30;9;33,4;1006,9;26,8;6,5;1,5;
2009-10-31;7;32;1004,9;27,2;5;1,3;
2009-11-30;11;107,2;1004,1;27,3;7,6;1,3;
2009-12-31;22;243,2;1004,9;26,7;6;1,2;
2010-01-31;23;333,8;1005,3;26;4,9;1;
2010-02-28;22;381;1004,5;26,5;5,3;1,1;
2010-03-31;25;183,2;1005,2;26,8;5,4;1;
2010-04-30;29;489,2;1005,3;26,2;5,3;,8;
2010-05-31;21;207;1005,7;26,8;6,4;,8;
2010-06-30;15;61,8;1007,5;26,2;5,1;,8;
2010-07-31;9;53;1007;26,3;8,2;,9;
2010-08-31;9;55,2;1007;26,4;6,5;1;
2010-09-30;10;28,8;1005,5;26,8;4,8;1,2;
2010-10-31;9;95,8;1005,2;27,2;4,6;1,1;
2010-11-30;11;112,6;1003,7;27,1;4,7;1;
2010-12-31;20;220,2;1003,4;26,2;6,6;1;
2011-01-31;28;420,4;1004,4;25,2;6,5;,9;
2011-02-28;26;514,4;1005,3;25;5,7;,9;
2011-03-31;27;619,4;1005,2;25,3;4,9;,9;
2011-04-30;28;557,2;1005,6;25,6;5;,8;
2011-05-31;23;399,8;1005,6;26,1;4,7;,8;
2011-06-30;11;null;1006,8;26,2;5,5;1;
2011-07-31;null;null;null;null;4;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;1;null;null;null;null;null;
2011-10-31;11;64,6;1004,3;26,9;5,9;1,3;
2011-11-30;12;167,2;1004,4;26,6;4,3;1,1;
2011-12-31;14;134,6;1004,6;26,7;6;1,1;
2012-01-31;25;330,2;1005,2;25,8;6,1;1,1;
2012-02-29;24;408,6;1005,2;25,1;6,1;1;
2012-03-31;29;450,2;1005,9;25,3;6,2;,9;
2012-04-30;27;371;1005,5;25,7;6;1;
2012-05-31;24;140;1006,5;25,9;6,1;1;
2012-06-30;21;138,8;1007,8;25,7;6;,9;
2012-07-31;18;58,8;1007,3;25,7;4,9;1;
2012-08-31;7;46,4;1007,8;26;6,6;1;
2012-09-30;4;6,8;1007,6;26,7;4,7;1,3;
2012-10-31;7;30,8;1005,1;27,2;5,6;1,3;
2012-11-30;5;132;1004,5;27,7;4,7;1,3;
2012-12-31;17;221,2;1004,4;26,6;4,6;1,1;
2013-01-31;29;192;1005,7;26,3;4,8;1;
2013-02-28;23;270;1004,9;25,7;5,2;1,1;
2013-03-31;29;372,4;1005,7;25,9;9,1;1;
2013-04-30;28;362,8;1006,3;26;7;,8;
2013-05-31;27;334,2;1006,6;26;7,4;,9;
2013-06-30;20;139;1007,2;26,1;5,7;,9;
2013-07-31;8;null;null;25,8;6;null;
2013-08-31;null;null;null;null;4,4;null;
2013-09-30;2;null;null;null;5,6;null;
2013-10-31;9;71,2;1005,8;27;6;1,2;
2013-11-30;14;275;1004,3;26,3;5,9;1;
2013-12-31;15;121,4;1005;26,3;4,8;1;
2014-01-31;null;null;null;null;3,8;null;
2014-02-28;6;null;null;null;4,2;null;
2014-03-31;8;null;null;null;5,2;null;
2014-04-30;null;null;null;null;4,5;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;19;198,6;1007,1;26;6,5;,9;
2014-07-31;20;78,6;1009;25,5;5,8;1;
2014-08-31;9;39,6;1007,8;25,7;5,2;1,1;
2014-09-30;12;67;1007,1;26,1;6,7;1,2;
2014-10-31;4;null;1006;26,8;5,4;1,2;
2014-11-30;3;3,2;1005;27,3;5,1;1,4;
2014-12-31;13;105,2;1005,4;26,7;6,5;1,2;
2015-01-31;13;null;1006,4;26;5,2;1;
2015-02-28;null;null;1006,4;25,5;5,9;1;
2015-03-31;null;null;null;25,3;4,1;null;
2015-04-30;null;null;1006,6;25,5;6,3;,8;
2015-05-31;4;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;3;null;null;null;null;null;
2015-11-30;2;null;null;null;4,6;null;
2015-12-31;3;null;null;null;5,3;null;
2016-01-31;4;null;null;null;7,4;null;
2016-02-29;null;null;null;null;4,5;null;
2016-03-31;null;null;null;null;6,6;null;
2016-04-30;null;null;null;null;3;null;
2016-05-31;14;null;null;26,9;7,5;null;
2016-06-30;15;31;1008,6;26,1;5,3;,7;
2016-07-31;4;8,2;1007,9;25,9;6,3;,7;
2016-08-31;3;7,4;1007,6;26,6;4,6;,9;
2016-09-30;6;17,4;1007,2;27,2;5;1;
2016-10-31;9;42;1005,2;27,2;5,8;,9;
2016-11-30;7;29,4;1004,3;27,9;4,8;1,1;
2016-12-31;24;267,2;1005,1;26,4;5,7;,8;
2017-01-31;22;232,4;1006;25,3;6,8;,7;
2017-02-28;17;59,4;1005,9;25,6;3,6;,6;
2017-03-31;null;null;1006,2;25,7;4,4;,8;
2017-04-30;null;null;1006,1;26;5,5;,6;
2017-05-31;null;null;1006,6;26,5;5,4;,6;
2017-06-30;null;null;1007;26,6;5,8;,8;
2017-07-31;null;null;1008,9;25,9;4,6;,9;
2017-08-31;1;9;1007,2;26,8;4,3;1,1;
2017-09-30;2;7,4;1006,6;27,4;5,6;1,4;
2017-10-31;9;21,2;1005,3;26,8;6,1;1,2;
2017-11-30;1;1;1004,4;27,7;4,5;1;
2017-12-31;14;94,8;1004,9;27;5,2;1;
2018-01-31;17;64,6;1005,6;25,8;4,6;,8;
2018-02-28;3;null;1005,9;25,5;3,5;,6;
2018-03-31;10;67,6;1005,7;26,1;5,4;,7;
