Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.63972221
Longitude: -51.95694444
Altitude: 211
Situacao: Pane
Data Inicial: 2016-11-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;7;null;null;null;null;null;
2016-12-31;20;209,2;987;25,4;10,1;1,4;
2017-01-31;21;228,4;987,9;25,3;6,9;1,5;
2017-02-28;25;364,4;987,9;25,1;6;1,7;
2017-03-31;28;415,6;987,9;25,5;8,3;1,6;
2017-04-30;19;221,8;988;25,8;5,4;1,4;
2017-05-31;15;55;988,4;26,9;7,1;1,4;
2017-06-30;7;47,4;989,2;26,3;7,5;1,7;
2017-07-31;0;0;991;25,9;6,8;2,1;
2017-08-31;9;47,2;988,4;28,1;7,4;1,8;
2017-09-30;5;12,6;987,8;28,6;8,6;1,8;
2017-10-31;13;141,4;986,7;27,5;7,4;2;
2017-11-30;20;157,2;986,2;26,1;12,1;1,6;
2017-12-31;25;298,2;986,9;25,6;7,1;1,5;
2018-01-31;22;304,2;987,4;25,4;7,3;1,5;
2018-02-28;null;null;null;null;6,3;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;13;null;989,8;25,7;6;1,4;
2018-06-30;2;,6;988,5;25,8;5,3;1,5;
2018-07-31;4;19,2;989;26,3;6,1;1,6;
2018-08-31;9;79,2;989;26,8;7,8;1,6;
2018-09-30;15;114,6;986,6;26,8;9,6;1,6;
2018-10-31;22;188,4;985,8;26,6;10;1,5;
2018-11-30;19;275,4;985,4;25,8;12,4;1,4;
2018-12-31;21;205,6;987,9;25,5;6,9;1,5;
2019-01-31;24;228;988,6;25;9,4;1,5;
2019-02-28;20;159;987,5;25,6;7,5;1,5;
2019-03-31;26;184,8;988,5;25,6;7,4;1,5;
2019-04-30;25;235,4;988,3;26,2;6,7;1,4;
2019-05-31;20;82,8;987,5;26,4;7,5;1,4;
2019-06-30;5;40;988,9;25,9;6,5;1,6;
2019-07-31;6;34,2;989,2;26;6,7;1,6;
2019-08-31;1;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;18;null;985,6;26;10,3;1,6;

