Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.55583333
Longitude: -47.45972222
Altitude: 117.96
Situacao: Operante
Data Inicial: 2008-02-29
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;null;null;null;null;null;
2008-03-31;23;null;997,4;25,6;5,6;1,3;
2008-04-30;22;260,8;996,5;26,3;7,1;1,2;
2008-05-31;14;186,8;997,8;26,4;5,4;1,1;
2008-06-30;1;,2;998,9;26,5;5,4;1,3;
2008-07-31;0;0;999,5;26,7;7;1,6;
2008-08-31;2;5,2;997,3;27,8;7,2;1,5;
2008-09-30;1;,2;997,5;28,9;6,5;1,7;
2008-10-31;7;30,6;996,6;29,3;6;1,6;
2008-11-30;15;145,6;995,8;27,8;7,5;1,2;
2008-12-31;15;318,2;996,1;26,8;5,9;1,1;
2009-01-31;17;281;997,1;26,7;9,6;1,1;
2009-02-28;20;288,6;996,8;26,1;5,5;1,1;
2009-03-31;19;181,4;996,7;26,4;6,5;1;
2009-04-30;24;484,6;998,1;25,8;7,4;1,1;
2009-05-31;20;323;998,4;26;6,1;,9;
2009-06-30;7;8,8;999,2;26,4;5,9;1,2;
2009-07-31;0;0;999,2;26,8;5,9;1,5;
2009-08-31;3;20,6;998,3;27,2;7,4;1,6;
2009-09-30;3;5,2;998,2;28,1;6,3;1,5;
2009-10-31;6;63;996,4;28,3;4,9;1,5;
2009-11-30;5;23,6;995,6;28,4;7;1,3;
2009-12-31;15;103,6;996,8;26,6;7,3;1,1;
2010-01-31;18;250,2;997,1;26,7;7,1;1,2;
2010-02-28;19;235,4;996,3;26,9;6,5;1,2;
2010-03-31;18;159,8;996,9;27,5;5,7;1,1;
2010-04-30;16;298,6;997;27,2;6;1,1;
2010-05-31;10;186,8;997,3;27,5;9,1;,9;
2010-06-30;6;24,2;999,3;26,8;5,2;1,1;
2010-07-31;2;13,6;998,9;26,8;9,7;1,3;
2010-08-31;3;7,8;998,6;26,9;6,4;1,3;
2010-09-30;1;4;996,8;29;5,3;1,4;
2010-10-31;9;114,6;996,6;28,3;8,4;1,4;
2010-11-30;10;107,2;995,3;27,6;6,1;1,2;
2010-12-31;23;195;995;26,6;5,8;1;
2011-01-31;24;408,4;996;25,8;5,7;1;
2011-02-28;24;325,2;997;25,6;5,9;1,1;
2011-03-31;21;288;996,7;26,1;5,7;1;
2011-04-30;23;134,4;997,2;26,3;5,5;,9;
