Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Operante
Data Inicial: 2016-09-10
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-09-30;6;null;null;26,3;7,8;null;
2016-10-31;12;59,2;982,4;26,5;7,1;1,5;
2016-11-30;10;53;981,7;26,2;7,5;1,4;
2016-12-31;15;158,8;982,6;25,7;7,7;1,5;
2017-01-31;20;209,6;983,3;25,3;7,8;1,4;
2017-02-28;20;376,4;983,5;25,2;6,5;1,6;
2017-03-31;20;273,2;983,5;25,6;5,6;1,4;
2017-04-30;22;203,4;983,5;25,9;6,3;1,3;
2017-05-31;7;68,8;984;26,6;5,7;1,4;
2017-06-30;3;22,4;985;25,3;6,3;1,5;
2017-07-31;1;,6;986,9;25,5;6,9;2;
2017-08-31;0;0;984;28,1;5,7;1,8;
2017-09-30;0;0;983,5;28,6;6,1;2;
2017-10-31;10;138,4;982,1;27,5;8,7;1,8;
2017-11-30;14;167,8;981,9;26;7;1,5;
2017-12-31;19;207,2;982,5;25,4;6,6;1,4;
2018-01-31;21;199,2;983;25,1;6,4;1,4;
2018-02-28;27;605,8;983,3;24,7;7;1,4;
2018-03-31;22;294,4;983,3;25,3;7,2;1,4;
2018-04-30;13;167,4;984,2;25,3;6,6;1,3;
2018-05-31;10;78,4;984,7;25,8;5,9;1,4;
2018-06-30;0;0;985,7;25,4;5,3;1,5;
2018-07-31;2;,6;985,2;26,2;5,6;1,6;
2018-08-31;6;42,2;985,2;27;6,3;1,6;
2018-09-30;6;25,8;982,8;27,3;6,2;1,6;
2018-10-31;14;173;982,6;26,7;7,2;1,3;
2018-11-30;7;null;null;26,4;null;null;
2018-12-31;4;null;null;null;null;null;
2019-01-31;25;210,6;984,5;25,2;null;null;
2019-02-28;20;280,2;983,8;25,6;null;null;
2019-03-31;27;345,4;984,3;25,7;null;null;
2019-04-30;20;167,4;983,9;26;null;null;
2019-05-31;8;56;983,8;26,3;null;null;
2019-06-30;5;14,4;985,7;26;null;null;
2019-07-31;2;21,4;985,5;26,2;null;null;
2019-08-31;1;5,6;985,8;27,2;null;null;
2019-09-30;4;124,6;983,6;28,1;null;null;
2019-10-31;19;198;982,9;25,7;null;null;
2019-11-30;14;138,6;982;25,7;null;null;
2019-12-31;15;239;982,3;25,9;6;1,3;

