Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2013-12-11
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-12-31;9;null;null;27,1;5,9;null;
2014-01-31;18;195,8;1009,5;26,2;5,3;2;
2014-02-28;25;466,2;1008,7;25,5;5;1,7;
2014-03-31;22;329,8;1009,5;25,7;6,5;1,8;
2014-04-30;24;341,4;1009,8;26,3;6,1;1,8;
2014-05-31;26;372,8;1009,9;26,2;4,1;1,6;
2014-06-30;24;394,8;1010,4;26,8;5,2;1,8;
2014-07-31;19;151,2;1012,2;27,2;6;2;
2014-08-31;9;15,2;1011,1;28;7,4;2,4;
2014-09-30;4;41,2;1010,5;28,1;5,9;2,8;
2014-10-31;3;38,8;1009,3;28,4;6;2,8;
2014-11-30;3;54,2;1008,4;28,3;5,5;2,7;
2014-12-31;5;21;1008,9;27,9;6,4;2,6;
2015-01-31;19;138,6;1009,9;27,1;5,7;2,3;
2015-02-28;12;null;1009,8;26,2;6,1;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;8;42;1010,5;28,2;5,9;2,4;
2015-09-30;0;0;1010,2;28,5;5,1;2,7;
2015-10-31;1;2;1009,7;28,7;5,8;2,9;
2015-11-30;0;0;1008,4;28,8;5,6;2,9;
2015-12-31;8;17,6;1009,7;28,3;6,4;2,8;
2016-01-31;18;111,2;1009,9;27;6,4;2,1;
2016-02-29;28;346,8;1009,5;26,7;5,4;2,1;
2016-03-31;23;null;1010,2;26,7;5,8;1,7;
2016-04-30;5;null;null;null;5,3;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;9;null;null;27,1;5,4;null;
2016-07-31;11;18;1011,3;27,4;6,3;null;
2016-08-31;8;38,8;1010,9;28,2;7,3;2,3;
2016-09-30;3;50,2;1010,6;28,3;5,5;2,5;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;1007,9;28,7;5,6;2,9;
2016-12-31;16;259;1008,5;27,4;5,4;2,3;
2017-01-31;27;169,8;1009,4;26;5,4;1,7;
2017-02-28;28;446,4;1009,5;25,6;5,9;1,6;
2017-03-31;27;501,6;1009,6;25,7;4,5;1,5;
2017-04-30;23;298,6;1009,6;26,5;4,5;1,6;
2017-05-31;21;207,6;1010;27,1;6,3;1,7;
2017-06-30;20;107;1010,4;27,1;6,2;1,8;
2017-07-31;null;null;null;null;null;null;
2017-08-31;4;null;null;null;null;null;
2017-09-30;7;34,4;1010,2;28,5;6,6;2,8;
2017-10-31;3;2,6;1008,8;28,6;6,5;2,9;
2017-11-30;1;,4;1007,9;28,6;5,6;2,7;
2017-12-31;14;133,2;1008,4;27,2;6,6;2,2;
2018-01-31;23;242;1009,1;26,4;6,9;1,9;
2018-02-28;22;227,4;1009,4;25,6;5,5;1,6;
2018-03-31;26;270,2;1009,2;26,3;5,9;1,8;
2018-04-30;25;618,2;1010,3;25,8;6;1,5;
2018-05-31;27;518;1010,7;26,2;6,3;1,6;
2018-06-30;23;232,6;1011,4;26,6;5,7;1,7;
2018-07-31;24;104;1011,3;26,8;7,2;1,9;
2018-08-31;7;79,4;1011,8;27,6;7;2,2;
2018-09-30;4;194,4;1009,3;28,3;5,8;2,6;
2018-10-31;null;null;null;null;4,9;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;15;null;null;26,1;4,9;null;
2019-03-31;25;220,6;1010,4;26,1;6,5;1,6;
2019-04-30;21;null;1010,1;25,9;4,3;1,5;
2019-05-31;27;474;1009,6;26,7;6;1,7;
2019-06-30;25;257;1011,2;27;6,5;1,7;
2019-07-31;20;381,8;1011,3;27,1;5,4;1,8;
2019-08-31;12;89,8;1011,9;28,1;4,4;null;
2019-09-30;3;2,8;1010,3;28,7;5,4;null;
2019-10-31;null;null;1008,8;29;5,5;2,7;
2019-11-30;5;26,6;1007,7;28,7;5,8;2,4;
2019-12-31;16;183,8;1008,2;27,8;6,2;2,3;

