Nome: ITAUBAL
Codigo Estacao: A251
Latitude: 0.56777777
Longitude: -50.8236111
Altitude: 21
Situacao: Pane
Data Inicial: 2017-08-23
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;
2017-09-30;7;22,8;1009,6;27,9;9,1;2,6;
2017-10-31;2;2,8;1008,2;28,1;10,5;2,7;
2017-11-30;2;1;1007,3;28,2;9,5;2,9;
2017-12-31;18;162;1007,8;26,8;9,8;2,2;
2018-01-31;28;304,4;1008,5;25,7;11,4;1,4;
2018-02-28;6;null;null;null;6,8;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;6;null;null;null;null;null;
2018-07-31;24;219,8;1010,7;26,3;9,1;2,1;
2018-08-31;4;7;1011,2;27;7,6;2,2;
2018-09-30;3;21,8;1008,7;27,8;9,3;2,6;
2018-10-31;3;27;1008,2;28,1;8,2;2,5;
2018-11-30;6;80,8;1007,4;28,2;9,7;2,5;
2018-12-31;28;371,6;1009,6;25,4;8,3;1,3;
2019-01-31;26;256,2;1009,9;25,7;9,6;1,3;
2019-02-28;24;null;1009,2;25,7;6,4;1,1;
2019-03-31;null;null;null;null;6,8;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;null;null;null;

