Nome: ALTAMIRA
Codigo Estacao: A253
Latitude: -3.26999999
Longitude: -52.39472221
Altitude: 191
Situacao: Operante
Data Inicial: 2018-10-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;1;null;null;null;null;null;
2018-11-30;15;115,2;987,9;27;3,2;1,1;
2018-12-31;22;230,6;990,1;25,1;4,2;,9;
2019-01-31;26;215;990,4;25,1;4,4;,9;
2019-02-28;25;178,4;989,9;25,1;2,6;,8;
2019-03-31;31;261,2;990,4;25,2;2,4;,8;
2019-04-30;29;303,2;990,1;25,3;3,3;,8;
2019-05-31;22;300,6;989,6;26;3,5;,8;
2019-06-30;10;41,4;991,2;26,2;3,3;,9;
2019-07-31;18;104,4;991,3;25,7;3,4;,8;
2019-08-31;9;24,2;991,8;26,7;3,6;1;
2019-09-30;8;45,2;990;27,3;2,9;1,1;
2019-10-31;18;67,6;988,8;26,8;3,5;1;
2019-11-30;13;87;987,8;26,8;2,9;,9;
2019-12-31;22;162,8;988,3;26,1;3,9;,9;

