Nome: SAO RAIMUNDO NONATO
Codigo Estacao: A345
Latitude: -9.03305554
Longitude: -42.70111111
Altitude: 385
Situacao: Pane
Data Inicial: 2008-02-26
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;null;null;null;null;null;null;
2008-03-31;20;253,2;967,6;25,1;5,1;1,3;
2008-04-30;12;173;967,3;24,5;4,9;1,2;
2008-05-31;2;4,6;969,3;23,8;5,4;1,5;
2008-06-30;0;0;971;22,9;5,7;1,9;
2008-07-31;0;0;972,2;23,5;5,7;2,2;
2008-08-31;0;0;970;25,6;6,5;2,4;
2008-09-30;1;1,4;969,6;27,6;6;2,5;
2008-10-31;0;0;968,4;28,7;6,7;3;
2008-11-30;8;141;966,1;28,8;6;2;
2008-12-31;10;37,2;966,7;27,8;5,2;1,5;
2009-01-31;13;157,2;967,8;28;5,1;1,4;
2009-02-28;10;107,4;967,3;27,7;7,6;1,4;
2009-03-31;12;136,6;967;27,7;4,9;1,2;
2009-04-30;23;232,4;968,6;26,5;4,3;1,1;
2009-05-31;10;30,4;969,4;25,2;4,2;1,2;
2009-06-30;4;1,8;970,9;24,2;4,8;1,6;
2009-07-31;0;0;971,2;24,9;5,4;2;
2009-08-31;0;0;970,5;26,7;5,8;2,4;
2009-09-30;0;0;969,4;28,2;5,9;2,3;
2009-10-31;9;75;967;27,7;5,8;1,7;
2009-11-30;1;1,4;966,6;28,1;5,7;2;
2009-12-31;12;129,4;967,4;27,3;5,4;1,8;
2010-01-31;12;109;968;27,5;6,4;1,3;
2010-02-28;7;33;967,2;28,4;6,8;1,5;
2010-03-31;19;141,2;967,7;27,1;5,8;1,3;
2010-04-30;10;143,4;968,3;26,5;5;1,2;
2010-05-31;1;29;968,4;26,6;4,4;1,2;
2010-06-30;2;39,4;971,4;25,8;5,5;1,7;
2010-07-31;2;1,2;971,7;25,7;6;2,3;
2010-08-31;0;0;971,6;26,1;6,1;2,4;
2010-09-30;0;0;969,7;27,8;6,5;2,6;
2010-10-31;7;33,8;967,4;28,9;5,8;1,7;
2010-11-30;5;47,6;965,9;28,8;6,3;2;
2010-12-31;6;null;965,7;26,3;4,3;1,1;
2011-01-31;7;63,8;966,4;26,4;5,2;1,1;
2011-02-28;11;null;967,2;26,4;4,8;1,1;
2011-03-31;null;null;null;null;3,6;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;1;1,6;970,8;25,9;5,5;2,1;
2011-09-30;0;0;970,9;26,7;7,3;2,5;
2011-10-31;6;51;966,9;28;5,9;1,8;
2011-11-30;5;44,6;967,2;26,4;6,1;1,5;
