Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Pane
Data Inicial: 2018-03-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;11;null;null;22,8;7,6;null;
2018-04-30;21;329,6;928,5;22,2;null;null;
2018-05-31;13;69,6;929,2;22,4;null;null;
2018-06-30;7;12,6;930,3;21,7;null;null;
2018-07-31;6;23,6;930,1;22,3;null;null;
2018-08-31;0;0;930,4;22,9;null;null;
2018-09-30;0;0;928,2;23,7;10,9;null;
2018-10-31;3;2,4;927,8;24;10,4;4,2;
2018-11-30;2;9,8;927;24,5;11,1;4,5;
2018-12-31;13;181,2;928,5;22,7;8,1;3,2;
2019-01-31;15;130,4;928,9;22,8;9,1;3,4;
2019-02-28;21;289,4;928,2;22,8;8,2;3,2;
2019-03-31;29;284,2;928,8;22,5;7,9;2,9;
2019-04-30;25;249,4;928,6;22,6;7,6;2,8;
2019-05-31;22;167,2;928,5;22,8;8,6;3,5;
2019-06-30;12;51,2;930,3;22;9,1;3,1;
2019-07-31;9;18,4;930,3;22,2;9,2;3,4;
2019-08-31;2;1,2;931;22,7;9;3,8;
2019-09-30;0;0;929,4;23,7;9,4;4,2;
2019-10-31;1;,6;927,9;23,8;9,4;4,2;
2019-11-30;1;42,2;926,8;24,3;9,4;4;
2019-12-31;2;13;927,3;24,4;9,3;4;

