Nome: QUIXADA
Codigo Estacao: A369
Latitude: -4.97888888
Longitude: -39.05722222
Altitude: 193
Situacao: Operante
Data Inicial: 2018-03-19
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;9;null;null;null;null;null;
2018-04-30;26;226,4;990,3;25,6;3,9;1,2;
2018-05-31;12;119;991,2;25,6;null;null;
2018-06-30;4;8,6;992,6;25,3;null;null;
2018-07-31;3;4;992,4;26,3;5,3;1,8;
2018-08-31;2;1,4;992,7;27,4;5,3;2,2;
2018-09-30;0;0;990,5;27,9;5,8;2,5;
2018-10-31;2;1;989,8;28,4;5,4;2,7;
2018-11-30;4;7,6;988,8;28,8;5,7;2,8;
2018-12-31;11;48,2;990;28,1;5,3;2,1;
2019-01-31;19;126,6;990,6;27,3;7,6;1,9;
2019-02-28;18;195;989,7;26,5;4,9;1,4;
2019-03-31;22;142;990,3;26;4,2;1,2;
2019-04-30;24;206,2;990,1;26;5,3;null;
2019-05-31;12;44,6;990,3;26,3;null;null;
2019-06-30;5;11,4;992,3;26,6;null;null;
2019-07-31;11;29,8;992,4;26,7;null;null;
2019-08-31;2;,6;993,5;27,2;null;null;
2019-09-30;1;,2;991,6;28,1;null;null;
2019-10-31;1;,4;989,9;28,4;null;null;
2019-11-30;null;null;null;28,9;null;null;
2019-12-31;null;null;null;null;null;null;

