Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2017-09-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-09-30;null;null;null;null;6,5;null;
2017-10-31;null;null;null;28;7;null;
2017-11-30;5;19;960,1;29,2;8,4;2,6;
2017-12-31;6;22,4;960,2;29,2;6,6;2,5;
2018-01-31;8;51,2;960,9;27,5;7;2,1;
2018-02-28;13;228,6;960,6;25,9;6;1,4;
2018-03-31;4;53,6;961,1;25,8;5,2;1,5;
2018-04-30;11;91,2;962,4;24,6;6;1,2;
2018-05-31;8;9;963,5;25,5;6,3;2,1;
2018-06-30;2;1,2;965;24,8;6,6;2,3;
2018-07-31;2;,6;965,4;24,5;6,5;2,5;
2018-08-31;2;,8;965,2;25,7;6,2;2,6;
2018-09-30;0;0;962,7;27,4;6,4;3;
2018-10-31;7;18,2;961,3;28,6;6,6;2,5;
2018-11-30;0;0;960,5;29,2;6,5;2,8;
2018-12-31;10;225,2;962;27,4;6;1,6;
2019-01-31;4;20,6;962,4;28,1;6,2;1,8;
2019-02-28;9;165,6;961,2;27,9;7,4;1,7;
2019-03-31;15;179,2;961,9;27,6;6,8;1,3;
2019-04-30;10;65,4;961,9;27,8;5;1;
2019-05-31;1;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;9;28,8;965,5;23,4;7,1;2,2;
2019-08-31;4;3,2;966,6;24,1;7,1;2,7;
2019-09-30;null;0;964;27,1;6,9;2,8;
2019-10-31;2;,8;961,7;28,6;6,7;3,1;
2019-11-30;4;19,6;960;29,5;6,4;2,5;
2019-12-31;2;12,2;960,4;28,9;6,2;2,4;

