Nome: PIRANHAS
Codigo Estacao: A371
Latitude: -9.62222221
Longitude: -37.76722221
Altitude: 187
Situacao: Operante
Data Inicial: 2017-09-19
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-09-30;6;null;null;null;null;null;
2017-10-31;6;4,4;993,5;25,8;7,6;3,4;
2017-11-30;0;0;990,7;28;8,2;3,6;
2017-12-31;4;6,8;990,4;28,5;8,1;3,4;
2018-01-31;5;16,2;991;28,3;8,5;3,5;
2018-02-28;10;41,2;990,3;28,3;8,9;3;
2018-03-31;6;8;990,5;28,7;8,9;2,6;
2018-04-30;12;37;992,4;26,8;8,4;2,5;
2018-05-31;17;28,8;993,9;25,7;6,9;2,5;
2018-06-30;14;18,6;995,8;24,4;7;2,3;
2018-07-31;16;18,4;996,4;23,8;7,3;2,4;
2018-08-31;6;6,6;996,2;25,1;7,4;3;
2018-09-30;6;4,4;993,8;26;8,3;3,7;
2018-10-31;1;12,4;991,8;28,1;8;3,6;
2018-11-30;3;9,4;991,3;28,1;8,5;4,2;
2018-12-31;11;175,2;992;27,4;7,6;2,6;
2019-01-31;3;3,8;992,8;27,9;8,3;3,3;
2019-02-28;5;14,6;990,9;29,3;8,8;3,1;
2019-03-31;13;118;991,5;28,3;9,2;2,5;
2019-04-30;4;16,2;991,6;28,1;7,6;2,3;
2019-05-31;5;21,6;992,3;27,4;7,9;2,3;
2019-06-30;19;54,4;995,7;24,6;7,8;2,1;
2019-07-31;10;null;null;24,1;7,7;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;1;null;null;null;null;null;
2019-10-31;null;null;992,6;27,7;8,6;3,9;
2019-11-30;0;0;990,5;28,6;8,7;3,8;
2019-12-31;1;,2;990,7;28,9;10,7;3,8;

