Nome: IPANGUACU
Codigo Estacao: A372
Latitude: -5.53499999
Longitude: -36.87222221
Altitude: 19
Situacao: Operante
Data Inicial: 2017-11-07
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-11-30;null;null;1008,3;null;8,5;3,4;
2017-12-31;2;,4;1008,4;29;8,3;3,1;
2018-01-31;8;160,4;1008,6;28,2;9,4;2,4;
2018-02-28;12;97;1008,3;27,2;9,6;1,8;
2018-03-31;12;111,2;1008,7;27,9;7,1;1,9;
2018-04-30;15;182,2;1009,5;26,6;7,3;1,2;
2018-05-31;11;93,4;1010,4;26,6;5,2;1,2;
2018-06-30;6;16;1011,9;26,5;5,8;1,6;
2018-07-31;2;5,4;1011,9;27,3;5,7;2,1;
2018-08-31;0;0;1012,2;28,2;7,1;2,7;
2018-09-30;0;0;1010;28,6;7,5;3,1;
2018-10-31;0;0;1009,3;28,7;8,3;3,2;
2018-11-30;2;6,2;1008,2;29,7;8,3;3,3;
2018-12-31;6;59,4;1009,3;28,6;8,4;2,6;
2019-01-31;10;67;1009,7;28,1;8,3;2;
2019-02-28;10;51,4;1008,8;28,1;6,9;1,7;
2019-03-31;23;225;1009,5;26,7;6,6;1,1;
2019-04-30;19;227,6;1009,3;26,8;7,3;1;
2019-05-31;13;74,4;1009,5;26,9;6,3;1,3;
2019-06-30;7;21,8;1011,7;26,7;6,2;1,5;
2019-07-31;5;3,2;1012;26,6;6,9;1,9;
2019-08-31;1;,4;1013,1;27,5;7,2;2,5;
2019-09-30;0;0;1011,2;28,3;7,1;2,8;
2019-10-31;1;67,4;1009,3;28,5;7,5;3,1;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;29,8;8,3;null;

