Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2018-03-27
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;2;null;null;null;null;null;
2018-04-30;5;46,8;961,1;24,4;3,9;1,2;
2018-05-31;0;0;962;24,8;4,7;1,4;
2018-06-30;0;0;963,5;23,5;5;1,5;
2018-07-31;0;0;963,3;23,2;4,5;1,4;
2018-08-31;2;2,4;962,7;26,1;4,8;1,6;
2018-09-30;0;0;959,7;28,2;5,5;1,7;
2018-10-31;12;58,8;958,9;28,8;6,6;1,7;
2018-11-30;11;127,8;958,9;26,8;5,3;1,6;
2018-12-31;13;205,8;960,7;25;5,9;1,3;
2019-01-31;10;58,2;960,8;25,9;5,5;1,4;
2019-02-28;15;144,6;960,2;25,4;5,5;1,3;
2019-03-31;16;206,2;960,6;25,7;4,8;1,3;
2019-04-30;10;164,2;960,7;25,1;4,1;1,1;
2019-05-31;4;61,4;960,9;24,9;4,1;1,2;
2019-06-30;0;0;963,6;23,5;4,6;1,4;
2019-07-31;0;0;963,3;24;4,4;1,5;
2019-08-31;0;0;964,1;24,9;5,1;1,8;
2019-09-30;1;,6;961,1;27,6;5,3;1,7;
2019-10-31;4;38,8;959,1;29;7;1,8;
2019-11-30;7;68,8;957,9;29;4,9;1,7;
2019-12-31;4;38,4;958,4;28,5;7,1;1,7;

