Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;5;null;null;null;null;null;
2018-04-30;8;46,8;953,5;25;6,5;1,8;
2018-05-31;1;13,8;954,2;25,7;7;2,2;
2018-06-30;null;0;955,3;25,4;7,9;2,7;
2018-07-31;0;0;955,2;25,8;8,2;2,9;
2018-08-31;1;2,4;955;27,2;8,6;2,7;
2018-09-30;2;34,6;952,3;28,2;9,4;2,2;
2018-10-31;10;106,2;951,8;27,3;7,6;1,8;
2018-11-30;13;98,2;951,3;26,5;8,2;1,9;
2018-12-31;11;164,2;953,2;25,3;7,9;1,7;
2019-01-31;15;97,6;953,5;25,2;7,3;1,3;
2019-02-28;18;166,2;952,9;24,5;6,9;1;
2019-03-31;19;94,8;953,3;24,9;8,1;1,2;
2019-04-30;13;106,2;953,2;25,2;5,8;1,2;
2019-05-31;5;115,8;953,3;25,7;5,7;1,3;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;1;null;null;null;null;null;
2019-09-30;0;0;953,4;28,6;9,6;2,3;
2019-10-31;11;54;951,9;28,3;8,3;1,9;
2019-11-30;6;76,6;950,8;27,5;8,3;1,9;
2019-12-31;7;50,2;951,2;27,4;8;2,2;

