Nome: CAMPO MAIOR
Codigo Estacao: A376
Latitude: -4.86416666
Longitude: -42.14555555
Altitude: 125
Situacao: Operante
Data Inicial: 2018-11-22
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-11-30;1;null;null;null;null;null;
2018-12-31;10;null;null;null;8,2;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;6;null;null;null;null;null;
2019-04-30;23;317,8;997,4;26,4;6,4;1,2;
2019-05-31;23;91,6;997,2;26,9;6,3;1,2;
2019-06-30;6;10;999,1;27;6,2;1,7;
2019-07-31;8;9,4;998,9;27,7;6,3;1,9;
2019-08-31;4;1,6;999,5;28,8;7;2;
2019-09-30;4;12;997,4;29,9;6,3;2;
2019-10-31;5;11,2;995,8;30,2;6,2;2,2;
2019-11-30;5;15,6;994,5;30,6;6,2;2,1;
2019-12-31;5;7,4;994,7;30,2;7,2;2;

