Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2000-05-12
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-05-31;null;null;null;null;null;null;
2000-06-30;null;null;null;null;null;null;
2000-07-31;null;null;null;null;null;null;
2000-08-31;null;null;null;null;null;null;
2000-09-30;null;null;null;null;null;null;
2000-10-31;6;null;null;25,6;5,1;2,2;
2000-11-30;13;76,2;null;26,1;5,6;2;
2000-12-31;15;91;null;25,9;5,2;2;
2001-01-31;18;98,8;1008,2;26,3;4,2;1,9;
2001-02-28;10;30,4;1006,4;27,2;4,8;1,9;
2001-03-31;17;249,8;1007,2;26,6;4;1,6;
2001-04-30;22;109,2;1008,2;26,4;3,9;1,8;
2001-05-31;20;207,8;1008,1;25,8;4,9;1,7;
2001-06-30;26;200,4;1011,4;24,5;6,2;2,2;
2001-07-31;24;228,6;1012,1;23,9;6,4;2,3;
2001-08-31;25;134,2;1014,3;23,5;5,5;2,7;
2001-09-30;14;null;1010,5;23,9;7,6;2,3;
2001-10-31;18;210,6;1008,8;24,8;6;2,3;
2001-11-30;8;null;null;26;4,9;null;
2001-12-31;15;118;1006,9;26,3;5,3;2,1;
2002-01-31;17;null;1007,1;26;5,1;1,8;
2002-02-28;7;104,8;1007,5;26,5;4,5;1,7;
2002-03-31;19;100,2;1007,6;26,9;3,7;1,7;
2002-04-30;21;71,8;1007,2;26,5;4,2;1,7;
2002-05-31;17;null;1009,1;25,1;7;2;
2002-06-30;23;null;1011,9;24,4;5,4;1,9;
2002-07-31;26;266,6;1012,3;23,7;12,3;1,6;
2002-08-31;22;139,8;1012,7;23,7;null;null;
2002-09-30;20;267,2;1010,5;24,4;null;null;
2002-10-31;7;null;1009;25,5;null;null;
2002-11-30;12;null;1008,6;26,1;null;null;
2002-12-31;2;null;null;null;null;null;
2003-01-31;1;null;null;null;4,5;null;
2003-02-28;8;null;null;27,2;3,8;null;
2003-03-31;24;210,6;1007,1;26,9;3,8;null;
2003-04-30;19;196,8;1007,7;26,7;null;null;
2003-05-31;22;571,4;1009;25,4;null;null;
