Nome: AMARGOSA
Codigo Estacao: A434
Latitude: -13.00944444
Longitude: -39.61694443
Altitude: 397.8
Situacao: Operante
Data Inicial: 2008-07-10
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;11;null;null;19,6;7,7;null;
2008-08-31;19;58,4;972,3;20,6;8;3,2;
2008-09-30;15;38;972,3;21,4;7,3;3,1;
2008-10-31;12;28,8;971,3;22,9;7,7;3,5;
2008-11-30;7;40;968,2;24,4;7;3,2;
2008-12-31;16;131;967,5;23,9;6,9;2,5;
2009-01-31;15;84;968,4;24,6;7,6;2,8;
2009-02-28;17;105,8;968,1;24,1;6,8;2,8;
2009-03-31;7;8,2;967;25,7;6,4;2,6;
2009-04-30;15;94,2;968,6;24,4;7,3;2,6;
2009-05-31;16;125;970,2;22,7;7,9;3,4;
2009-06-30;16;46,6;972,1;21,7;7,9;3;
2009-07-31;16;76,2;972,9;21,5;7;2,9;
2009-08-31;24;88,4;972,8;21,2;7;3,2;
2009-09-30;16;41,8;972;22,8;7,7;2,9;
2009-10-31;15;147,2;968,5;23,7;7,1;2,7;
2009-11-30;8;26,4;968,6;24,3;6,8;2,9;
2009-12-31;11;53,6;968,5;25,3;7,3;3,1;
2010-01-31;17;108;969,1;24,7;7,6;3,2;
2010-02-28;16;65,2;968,8;25,2;8,5;3,2;
2010-03-31;15;81,2;968,1;25,5;7,1;2,6;
2010-04-30;19;124,2;969,1;24,1;7,6;2,9;
2010-05-31;19;43;969,8;23,6;7,6;2,6;
2010-06-30;18;34,2;973,2;21,7;8,9;3,6;
2010-07-31;29;229,2;973,8;20,5;7,8;3,4;
2010-08-31;22;72,4;974,2;20;8,5;3,2;
2010-09-30;23;52,8;972,6;21;7,8;3,4;
2010-10-31;7;143,6;969,4;23,6;6,8;3;
2010-11-30;9;32,2;967,9;24,1;7;2,7;
2010-12-31;11;160,4;966,3;24,4;6,2;2,3;
2011-01-31;22;134,6;967,6;23,9;7,1;2,7;
2011-02-28;18;45,8;968,2;24,4;7,1;2,8;
2011-03-31;12;119,2;967,2;25,5;6,8;2,5;
2011-04-30;24;194,4;969,1;23,7;7,3;2,7;
2011-05-31;21;70,4;970,5;22,1;7,8;3;
2011-06-30;20;36;972,1;21,3;7,4;2,8;
2011-07-31;27;105,6;973,1;20,3;8,6;2,9;
2011-08-31;26;54;973,2;20,9;6,6;2,7;
2011-09-30;15;33,2;974;20,6;7,5;3,4;
2011-10-31;16;72,2;969,3;22,7;9,5;3,1;
2011-11-30;17;49,4;969,3;22,6;7,6;2,9;
2011-12-31;13;103,2;968,6;23,9;6,8;2,4;
2012-01-31;14;14;969,2;24,3;7,3;3,2;
2012-02-29;19;68;969,2;23,9;7,4;3,2;
2012-03-31;10;20,8;969,5;24,5;8,6;2,9;
2012-04-30;20;33,4;969,6;23,8;6,8;2,6;
2012-05-31;18;41,2;971,5;22,7;7,9;2,8;
2012-06-30;23;78;973;21,9;7,3;2,5;
2012-07-31;22;85,8;973,5;20,9;7,8;2,9;
2012-08-31;25;117;975,1;20,2;8;3,6;
2012-09-30;12;13,8;973,8;21,7;8,1;3,2;
2012-10-31;15;52,2;971,1;22,1;7;3,1;
2012-11-30;13;55,4;968,1;23,7;6,6;2,3;
2012-12-31;2;3,2;968,4;25;8,4;3,1;
2013-01-31;15;37,6;969,1;25,2;8,5;2,9;
2013-02-28;15;49;969,2;24,8;7,2;3,1;
2013-03-31;10;27,4;969,3;25,3;7,9;3;
2013-04-30;10;32;969,9;24,3;8,1;3,2;
2013-05-31;13;47,8;971,1;23,2;7,9;2,9;
2013-06-30;24;84,4;972,3;21,9;7,6;2,6;
2013-07-31;23;91,6;973,8;21;7,1;2,5;
2013-08-31;26;93,2;973,4;20,6;7,9;2,9;
2013-09-30;19;86,6;972,8;21,4;7,7;2,6;
2013-10-31;12;39;971,4;22,5;9,1;3,1;
2013-11-30;17;62,2;969,1;23,4;8,3;2,7;
2013-12-31;10;122,6;968,2;24,5;6,3;2;
2014-01-31;17;70,2;970,2;24;10,1;2,7;
2014-02-28;24;147,2;969,4;23,3;6,9;2,7;
2014-03-31;27;139;969,8;23,8;6,5;2,5;
2014-04-30;17;49,6;969,9;24,2;6,9;2,3;
2014-05-31;22;57,6;971;22,8;7,7;2,2;
2014-06-30;8;null;null;null;6,7;null;
2014-07-31;null;null;975,4;20,8;7,1;3,1;
2014-08-31;4;27,6;974,7;20,5;8,2;2,7;
2014-09-30;null;null;973,3;21,4;8,4;3,1;
2014-10-31;null;null;972,3;22,6;8,8;3,4;
