Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Fechada
Data Inicial: 2016-05-27
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;null;null;null;null;null;
2016-06-30;1;null;null;26,8;7,1;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;4;null;null;28,2;7;null;
2016-10-31;2;null;965,5;29,6;7,3;3,2;
2016-11-30;7;234,6;965,1;28,3;7,1;2,9;
2016-12-31;3;null;965,4;27,8;7,4;2,5;
2017-01-31;4;14,6;965,4;29,1;6;2,3;
2017-02-28;18;111,8;965,7;26,8;5,8;1,9;
2017-03-31;2;null;965,6;27,4;7,3;1,7;
2017-04-30;null;null;null;null;6,2;null;
2017-05-31;null;null;967,8;27,2;6,4;2,7;
2017-06-30;null;0;969,3;26,4;6,7;3,4;
2017-07-31;null;null;972,2;24,4;8,1;4,1;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;0;0;968,3;25,8;6,6;2,6;
2018-06-30;1;,2;970;25,1;5,5;2,6;
2018-07-31;0;0;970,1;24,7;6,1;2,8;
2018-08-31;0;0;969,7;26,2;6,4;2,8;
2018-09-30;0;0;966,8;27,9;5,7;2,8;
2018-10-31;4;46,8;965,4;28,9;6;2,4;
2018-11-30;3;9,4;965;28,7;6,9;2,6;
2018-12-31;10;129,4;966,8;26,3;6;1,9;
2019-01-31;3;10,2;966,8;28,7;6,1;2,4;
2019-02-28;12;121,6;965,8;27,7;6,4;1,7;
2019-03-31;10;67,2;966,5;27,2;5,3;1,8;
2019-04-30;14;89,4;966,6;26,7;5,3;1,8;
2019-05-31;3;34;966,8;27,3;6,1;2,1;
2019-06-30;null;0;970,1;26,1;6,3;2,9;
2019-07-31;null;null;null;null;6,4;null;
2019-08-31;null;null;null;null;7,2;null;
2019-09-30;null;null;null;null;6,8;null;
2019-10-31;0;0;965,9;29,3;5,9;2,8;
2019-11-30;3;14,2;964,1;29,8;6,2;2,6;
2019-12-31;6;32,4;964,6;29,8;6;2,5;

