Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2016-06-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;null;961,1;23,3;5,8;1,4;
2016-07-31;0;0;960,6;22;5,9;1,4;
2016-08-31;0;0;959,5;24,3;5;1,5;
2016-09-30;6;25;958,5;25,9;4,8;1,5;
2016-10-31;6;32,6;956,3;27,1;6,1;1,6;
2016-11-30;12;192,6;955,8;26,2;4,9;1,4;
2016-12-31;10;130;956,4;25,4;4,9;1,3;
2017-01-31;11;109,2;956,5;25,6;6,8;1,3;
2017-02-28;21;219,4;957,1;24,3;4,2;1,2;
2017-03-31;16;113,8;957;24,7;4,3;1,1;
2017-04-30;6;null;null;24,7;3,9;null;
2017-05-31;null;null;null;null;5,2;null;
2017-06-30;null;null;null;null;4,8;null;
2017-07-31;null;null;null;null;6,1;null;
2017-08-31;null;null;null;24,2;5,2;null;
2017-09-30;0;0;959,8;25,5;5,7;2;
2017-10-31;0;0;956,1;28,5;5,6;1,7;
2017-11-30;13;107,6;955,6;26,4;6;1,4;
2017-12-31;15;202;955,7;25,8;6,6;1,3;
2018-01-31;17;53,8;956,2;25,5;5,8;1,3;
2018-02-28;22;327,2;956,4;24,2;4,9;1,1;
2018-03-31;24;210,8;956,7;24,6;5,5;1,2;
2018-04-30;null;null;957,9;24,2;3,8;1,1;
2018-05-31;1;,2;958,9;24;4,3;1,1;
2018-06-30;0;0;960,4;22,2;4,9;1,2;
2018-07-31;1;2;960,2;21,7;4,8;1,3;
2018-08-31;2;33;959,6;24,7;4,5;1,4;
2018-09-30;0;0;956,5;26,7;4,2;1,3;
2018-10-31;8;188,4;955,7;27,6;5,7;1,2;
2018-11-30;13;210,6;955,8;26;4,5;1,2;
2018-12-31;13;183,6;957,6;24,2;5,1;1,2;
2019-01-31;10;65,8;957,7;25,6;4,4;1,1;
2019-02-28;17;221,6;956,9;25,4;5,3;1,1;
2019-03-31;25;238;957,4;25;6;1,1;
2019-04-30;12;96,4;957,5;24,8;4,9;1;
2019-05-31;4;50;957,7;24,4;2,9;,9;
2019-06-30;0;0;960,5;22,4;4,9;1,1;
2019-07-31;2;3,2;960,3;22,2;4,6;1,2;
2019-08-31;0;0;961;23,1;4,8;1,4;
2019-09-30;1;2,6;958;26,2;4,8;1,4;
2019-10-31;6;20,2;955,9;28;5,4;1,4;
2019-11-30;5;25,2;954,6;28,8;4,7;1,5;
2019-12-31;7;47,4;955,2;28,1;5,9;1,4;

