Nome: NOSSA SENHORA DA GLORIA
Codigo Estacao: A453
Latitude: -10.20777777
Longitude: -37.43194443
Altitude: 271
Situacao: Operante
Data Inicial: 2017-03-23
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;null;null;null;null;null;null;
2017-04-30;10;73;982,1;26,2;7,8;2,9;
2017-05-31;18;176;983,4;24,4;null;null;
2017-06-30;23;128,2;985,1;22,8;null;null;
2017-07-31;26;118;987,9;21,3;null;null;
2017-08-31;22;81,6;986;21,8;null;null;
2017-09-30;26;null;986,5;21,9;null;null;
2017-10-31;14;23;983,7;23,8;5,4;2,7;
2017-11-30;5;13,2;981,1;25,7;6;3;
2017-12-31;5;20,2;980,8;26,5;6,9;3;
2018-01-31;7;25,2;981,4;26,6;5,9;3;
2018-02-28;6;54,6;980,6;26,5;6,4;2,9;
2018-03-31;8;42,8;980,7;26,9;5,1;2,4;
2018-04-30;7;32,8;982,5;25,4;5,8;2,5;
2018-05-31;19;46,8;983,9;24,3;5,9;2,6;
2018-06-30;19;41,8;985,8;23,2;5,5;2,5;
2018-07-31;22;61,4;986,4;22,3;5,7;2,7;
2018-08-31;10;14,6;986,3;23,4;5,8;2,7;
2018-09-30;6;13,8;984;24,3;6,5;null;
2018-10-31;2;1;982,2;26,1;null;null;
2018-11-30;4;18;981,7;26,2;null;null;
2018-12-31;9;26;982,2;26,6;null;null;
2019-01-31;3;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;6;null;null;null;5,5;null;
2019-04-30;8;50,4;981,7;26,8;5,5;2,4;
2019-05-31;8;54,2;982,5;26;6,8;2,1;
2019-06-30;21;137,2;985,7;23,4;6,4;2,4;
2019-07-31;23;336,8;985,8;22,5;null;null;
2019-08-31;23;81;987,5;22,2;null;null;
2019-09-30;17;33,4;985,2;23,6;null;null;
2019-10-31;4;7,6;983;25,3;null;null;
2019-11-30;3;3;980,9;26,7;4,9;null;
2019-12-31;2;3,2;981,1;27,2;null;null;

