Nome: ITAMARAJU
Codigo Estacao: A455
Latitude: -17.00694444
Longitude: -39.55805555
Altitude: 110
Situacao: Pane
Data Inicial: 2016-05-27
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-05-31;null;null;null;null;null;null;
2016-06-30;14;40,2;1007,3;22,2;6,4;2,5;
2016-07-31;18;130,6;1007,5;21,5;6,5;2;
2016-08-31;20;77,6;1006,8;21,9;6,9;2,4;
2016-09-30;14;26;1005,9;22,8;6,7;2,6;
2016-10-31;16;141;1003,1;24;6,9;2,8;
2016-11-30;21;213;1001,8;24,3;7,1;2,8;
2016-12-31;17;109,8;1001,3;25,7;7,1;3;
2017-01-31;13;34,2;1002,1;25,9;6,4;2,7;
2017-02-28;20;135,8;1001,9;25,2;5,8;2,1;
2017-03-31;11;139,4;1001,5;25,6;5,6;2,3;
2017-04-30;19;72,2;1003;24,3;6,7;2;
2017-05-31;19;229,2;1004,7;22,7;5;1,9;
2017-06-30;24;162,8;1006,8;21,9;5,6;1,9;
2017-07-31;30;207;1011,2;19,7;8,5;2,1;
2017-08-31;12;139,8;1007,3;20,1;6,3;2;
2017-09-30;22;85,8;1009;21;6,2;2,1;
2017-10-31;10;9;1004;23,7;6,5;2,8;
2017-11-30;15;211;1001,2;24,2;6,2;2,9;
2017-12-31;20;297,2;1000,3;25,1;6,7;2,5;
2018-01-31;14;42,6;1001,4;25,8;6,8;2,7;
2018-02-28;19;208;1000,5;25,6;5,7;2,4;
2018-03-31;14;90,8;1000,3;26,1;7,7;2,5;
2018-04-30;5;null;null;null;5,4;null;
2018-05-31;null;null;null;null;5,7;null;
2018-06-30;11;null;null;null;5,4;null;
2018-07-31;25;75,4;1007,6;20,8;5,7;1,6;
2018-08-31;8;18,6;1007,1;22,2;7,1;2,2;
2018-09-30;8;31,2;1004,2;23;7,4;2,9;
2018-10-31;15;89,2;1002,3;24,4;7,5;2,9;
2018-11-30;16;162,4;1002,3;24,5;6,2;2,4;
2018-12-31;14;310,2;1001,6;25,4;7;3;
2019-01-31;12;35,8;1003,5;26,3;6,2;2,5;
2019-02-28;4;13,2;1000,4;28;6;2,8;
2019-03-31;13;116,6;1001,6;26,7;6,2;2,7;
2019-04-30;14;98;1001,6;25,9;5,2;2;
2019-05-31;14;null;1002,9;24,3;5,6;1,8;
2019-06-30;18;139,8;1007,5;22,3;6,5;2;
2019-07-31;15;null;1007,2;21,1;7,2;2,3;
2019-08-31;16;235,4;1009,3;21,3;5,8;2,1;
2019-09-30;12;null;1005,9;22,5;6,8;2,4;
2019-10-31;13;53,4;1003,2;24;7,2;2,5;
2019-11-30;10;null;1000,8;25,5;7;2,8;
2019-12-31;10;58,8;1001,2;25,6;8,8;2,8;

