Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Operante
Data Inicial: 2018-03-09
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;12;null;null;26,7;4,7;null;
2018-04-30;17;199,8;1009,6;25,5;3,1;1,2;
2018-05-31;27;191,4;1011,1;24,5;3,6;1,1;
2018-06-30;25;150,2;1013,2;23,7;3,5;1;
2018-07-31;23;45,6;1013,7;23,1;2,6;1;
2018-08-31;16;null;1013,6;23,7;3,3;1,3;
2018-09-30;5;70,4;1011,2;24,7;3,6;1,7;
2018-10-31;8;null;1009,3;25,6;4,1;1,7;
2018-11-30;12;98;1008,8;26,3;4,1;1,7;
2018-12-31;12;null;1009;26,3;null;null;
2019-01-31;12;13,4;1010,1;27,2;3,1;1,4;
2019-02-28;3;null;1007,8;28,4;3,9;1,8;
2019-03-31;14;134,4;1008,3;27,8;5;1,8;
2019-04-30;15;null;1008,4;26,8;2,6;null;
2019-05-31;14;null;1009,3;25,9;null;null;
2019-06-30;14;null;1013,1;24,1;null;null;
2019-07-31;15;null;1013,2;23,2;4,1;null;
2019-08-31;10;null;1015;23,3;4,7;1,2;
2019-09-30;8;null;1012,5;null;3,5;1,4;
2019-10-31;4;null;1010,2;null;3,7;1,5;
2019-11-30;3;null;1007,9;26,3;3,4;1,6;
2019-12-31;9;null;1008,1;26,8;3,4;null;

