Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2002-12-17
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;
2003-03-31;7;null;null;null;null;null;
2003-04-30;13;101,2;917,8;23;5,5;1,9;
2003-05-31;3;33,4;919,2;19,9;5,4;2,1;
2003-06-30;null;0;919,5;21,1;4,8;1,7;
2003-07-31;1;1,4;921,1;20,6;5,7;2,3;
2003-08-31;2;3,2;919,7;21,3;7,5;2,3;
2003-09-30;6;47,6;918,3;23,8;6,1;2,5;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;6;null;null;null;6;null;
2004-01-31;9;null;null;null;null;null;
2004-02-29;7;null;null;null;null;null;
2004-03-31;14;158,2;915,7;23,1;5,2;2,1;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;6,4;null;
2005-01-31;11;null;null;null;6,1;null;
2005-02-28;6;null;914,6;24,4;5,6;1,9;
2005-03-31;13;null;null;23,7;5,8;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;2;null;null;null;null;null;
2005-06-30;4;41,2;920,1;20,1;6,4;2,3;
2005-07-31;1;,2;921,4;19,9;6,9;2,4;
2005-08-31;1;3,2;919,7;22,1;5,8;2,4;
2005-09-30;5;null;917,9;23,7;6,8;2,6;
2005-10-31;9;44,4;916;26,1;6,2;2,4;
2005-11-30;5;null;null;null;6,4;null;
2005-12-31;23;209,4;914,4;22,2;6,3;2,4;
