Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.16666666
Longitude: -40.68777777
Altitude: 189.11
Situacao: Operante
Data Inicial: 2002-12-14
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;7;null;null;26,8;6;null;
2003-01-31;12;152,4;991,3;27;8;2;
2003-02-28;10;26,6;992,9;27,2;8,3;2,3;
2003-03-31;5;8;992,1;27,7;9,7;2,4;
2003-04-30;13;109,2;993,3;26,1;8,6;1,8;
2003-05-31;6;null;null;23,5;6,1;null;
2003-06-30;5;4,8;996,4;21,7;5,4;1,5;
2003-07-31;8;38,2;999;21,5;5,4;1,8;
2003-08-31;13;19,4;997,6;22,7;6,2;1,9;
2003-09-30;10;11,2;996,5;24;7,2;2,3;
2003-10-31;6;10;994,2;25,5;8,3;3,1;
2003-11-30;12;58,4;992,1;26,3;8,1;3,1;
2003-12-31;12;47,6;991,5;28,2;10,7;2,9;
2004-01-31;19;241;990,3;26,3;8,1;2,3;
2004-02-29;14;103,4;991,9;26,1;6,5;1,9;
2004-03-31;24;269,6;992,1;24,8;8,1;1,6;
2004-04-30;12;48,6;993,3;24,9;5,7;1,7;
2004-05-31;17;28;995,1;24;6,1;1,5;
2004-06-30;18;33,8;998,7;21,9;6,3;1,4;
2004-07-31;15;41,2;998,1;20,8;5,8;1,6;
2004-08-31;5;6,6;998,3;22;5,6;1,7;
2004-09-30;2;,6;996,8;23,8;7,2;2,4;
2004-10-31;7;76;993,4;25,8;8,9;2,8;
2004-11-30;9;null;992,2;25,8;8,2;2,6;
2004-12-31;9;66;991,3;26,4;7,1;2,1;
2005-01-31;10;148,8;990,2;27,2;7,2;2,3;
2005-02-28;11;null;990,7;26,2;7,2;1,9;
2005-03-31;13;114;991,8;26,8;8,7;1,8;
2005-04-30;13;101,2;993,8;25,1;5,7;1,5;
2005-05-31;17;null;995,6;23;5,1;1,5;
2005-06-30;21;49;997,3;21,9;5,7;1,4;
2005-07-31;7;19,8;999,2;21,4;5,6;1,6;
2005-08-31;15;25,2;998,2;22,1;7,7;2;
2005-09-30;2;null;995,9;24,8;6,7;2,4;
2005-10-31;1;4,2;993,8;26,6;7,6;3,1;
2005-11-30;8;null;991,9;25,3;7,2;2,4;
