Nome: SERRA DOS AIMORES
Codigo Estacao: A522
Latitude: -17.79888888
Longitude: -40.25
Altitude: 211.97
Situacao: Operante
Data Inicial: 2006-08-20
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;null;null;null;null;null;
2006-09-30;17;39,2;993,7;21,6;8,2;3,2;
2006-10-31;16;94,2;990,5;22,9;8,4;3,3;
2006-11-30;17;345,4;988,7;23,7;8,6;3,2;
2006-12-31;17;214,4;989,5;24,7;8,4;2,9;
2007-01-31;12;47;988,5;26,4;8,2;3,2;
2007-02-28;22;242,6;989,5;24,7;8,4;2,5;
2007-03-31;13;23,4;990,4;25,3;8,9;2,4;
2007-04-30;17;274,6;990,8;24,4;8,5;2,1;
2007-05-31;15;15,8;992,4;22,3;7,4;2,3;
2007-06-30;15;11,8;995;21,2;6;1,9;
2007-07-31;12;19,2;994,8;21,4;8,2;2,6;
2007-08-31;17;35,2;996,2;20,7;7;2,6;
2007-09-30;18;32,8;995,9;21,2;9,4;2,9;
2007-10-31;3;2,8;991,5;23,6;9,3;3,8;
2007-11-30;9;null;988,2;25,1;10,6;4,1;
2007-12-31;12;65,2;988,2;25,4;12,3;3,5;
2008-01-31;11;144;988,5;24,9;8,9;3,2;
2008-02-29;11;130,6;988,5;25,7;9,4;2,8;
2008-03-31;20;83,2;988,5;25,1;9,5;2,2;
2008-04-30;11;70,4;988;25,5;7,3;2,1;
2008-05-31;12;29,2;991,9;22,2;6,5;2;
2008-06-30;16;16,6;994,6;21,2;8;2,2;
2008-07-31;14;28,4;996,3;20;7,2;2,2;
2008-08-31;12;24,6;993,9;21,5;7,8;2,4;
2008-09-30;6;26,4;993,5;22,2;8,3;3,2;
2008-10-31;6;25,4;992;24,6;8,9;3,3;
2008-11-30;17;329,2;988,6;24,3;8,6;3;
2008-12-31;15;154,8;987,1;24,7;8,9;2,7;
2009-01-31;17;274,4;988,9;25,3;7,9;2,8;
2009-02-28;8;20,6;988,9;26,1;7,3;2,7;
2009-03-31;11;72,6;987,5;26,4;7,4;2,3;
2009-04-30;17;228,2;989,9;24,1;6,5;1,8;
2009-05-31;23;28,6;992,3;21,9;6,5;1,7;
2009-06-30;20;47,8;993,9;21,1;6,3;1,7;
2009-07-31;14;21,6;994,4;21,4;6,6;1,9;
2009-08-31;18;40;994,6;21,5;7,5;2,5;
2009-09-30;12;34,6;992,4;23,9;7,6;3,4;
2009-10-31;11;188;988,7;24,1;8,7;2,9;
2009-11-30;7;74,6;988,3;25,7;7,5;3,3;
2009-12-31;9;58,8;988,3;26,6;8,6;3,1;
2010-01-31;5;null;989,8;27,2;9;3,2;
2010-02-28;16;86,4;989,6;26,6;9,1;2,7;
2010-03-31;9;null;null;null;13,3;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;15;null;990,9;22,8;5,8;1,5;
2010-06-30;16;18,4;995,5;20,5;6,7;2;
2010-07-31;26;64;996,6;20,5;6,4;2,1;
2010-08-31;6;3;996,2;20,4;7,3;2,5;
2010-09-30;13;50,2;994;22;8;3,2;
2010-10-31;11;46,4;990,2;23,2;8;3;
2010-11-30;21;272,6;987,9;24;9,5;2,9;
2010-12-31;13;177,2;985,8;25,8;9,8;3;
2011-01-31;14;50,4;988;25,7;8,1;3;
2011-02-28;11;215,6;988,8;25,8;8,3;2,6;
2011-03-31;20;141,4;987,6;25,2;7,6;2,2;
2011-04-30;27;330,6;990,6;23,7;6,8;1,9;
2011-05-31;21;41,2;992,3;21,6;6,8;1,8;
2011-06-30;null;null;null;null;null;null;
2011-07-31;4;null;null;null;null;null;
2011-08-31;11;8,4;994,3;21,6;6,7;2,7;
2011-09-30;8;13;995,7;21,1;8,6;3,1;
2011-10-31;15;160,4;990,3;22,8;8,9;3,5;
2011-11-30;20;233,2;990,4;22,3;8,8;2,9;
2011-12-31;12;205,8;988,6;24,6;9;3,1;
2012-01-31;16;88,8;989,8;24,9;7,9;3,2;
2012-02-29;13;40,2;990,2;24,8;9;3;
2012-03-31;8;21,6;990,1;25,3;8,4;2,9;
