Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89277777
Longitude: -41.51555555
Altitude: 467.17
Situacao: Pane
Data Inicial: 2006-08-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;2;null;null;null;null;null;
2006-09-30;15;74,4;964,3;20,9;5,8;1,8;
2006-10-31;18;68,6;961,2;22,4;6,9;2,2;
2006-11-30;21;329,2;959,7;22,6;6,5;1,9;
2006-12-31;19;371,6;960,4;23,7;10,3;1,6;
2007-01-31;14;71,2;959,6;25,4;5,5;1,7;
2007-02-28;20;158,6;960,6;23,7;7,9;1,9;
2007-03-31;9;84,6;961,6;24,6;5,6;1,5;
2007-04-30;14;60,6;962;23,5;6,2;1,3;
2007-05-31;11;37,2;963,4;21;5,8;1,2;
2007-06-30;5;3,4;965,8;19,9;5,5;1,1;
2007-07-31;7;14,4;965,3;20,6;5,8;1,5;
2007-08-31;10;13,8;966,7;20,3;6,5;1,9;
2007-09-30;10;20,4;966,3;21,2;8,2;2,4;
2007-10-31;5;4;961,9;24,3;7,7;2,9;
2007-11-30;7;null;959;25,1;7,2;2,7;
2007-12-31;14;86,8;959,2;24,9;6,6;2,1;
2008-01-31;13;108;959,5;24,1;9,2;1,9;
2008-02-29;13;165,4;959,7;24,5;7,3;1,8;
2008-03-31;18;103,6;959,7;24,2;8,4;1,5;
2008-04-30;9;76,8;959,3;24,4;5,6;1,2;
2008-05-31;1;,6;962,8;21,8;4,9;1,2;
2008-06-30;3;null;965,3;20,9;5,9;1,4;
2008-07-31;4;6,8;966,9;19,5;5,3;1,4;
2008-08-31;6;16,8;964,4;21,6;6,3;2,1;
2008-09-30;8;30,4;963,9;21,9;6,7;2,3;
2008-10-31;5;2,8;962,6;24,8;8,4;2,9;
2008-11-30;21;437;959,4;23,6;7,5;1,8;
2008-12-31;17;225;958,5;23,5;7,5;1,8;
2009-01-31;19;220,8;960;24,4;5,5;1,7;
2009-02-28;5;18,2;960;25,7;7,9;1,9;
2009-03-31;13;176,6;958,8;25,6;6,7;1,3;
2009-04-30;14;136,8;961,2;23,2;8,8;,6;
2009-05-31;9;11,8;963,3;21;4,1;,5;
2009-06-30;8;47,8;964,7;20,4;4,2;,6;
2009-07-31;7;11,8;965,2;20,5;4,8;,7;
2009-08-31;11;29,4;965,3;21;6,1;,8;
2009-09-30;6;4,6;963,1;24;7,8;,8;
2009-10-31;9;290,6;959,6;24,1;6,9;1,2;
2009-11-30;9;139,2;959,4;24,9;7,8;1,9;
2009-12-31;14;191,8;959,4;24,9;9,1;1,7;
2010-01-31;5;12;960,7;26,3;6,9;2,4;
2010-02-28;9;42,8;960,8;26,1;8;2,2;
2010-03-31;20;252,4;959,6;24,9;9,3;1,4;
2010-04-30;11;86,2;961,9;23,2;5,8;1,2;
2010-05-31;10;83,2;962,2;21,9;4,8;1,2;
2010-06-30;10;13,8;966,4;19,4;4,8;1;
2010-07-31;20;42;967,2;19,8;5,6;1,3;
2010-08-31;4;8,4;966,6;20;6,7;1,7;
