Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.74777777
Longitude: -44.45388888
Altitude: 669.48
Situacao: Pane
Data Inicial: 2006-12-17
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;6;null;null;null;null;null;
2007-01-31;14;null;937,5;23,2;9,4;1,8;
2007-02-28;13;null;937,8;23,7;7,1;2;
2007-03-31;3;73,8;939;24,6;5,6;1,8;
2007-04-30;6;54;939,5;23;6,7;1,6;
2007-05-31;3;,8;940,6;20,4;8,4;1,7;
2007-06-30;1;1,2;942,8;19,3;11,5;1,5;
2007-07-31;2;3,4;942,1;19,8;7,1;1,7;
2007-08-31;0;0;943,1;20,3;7,8;2,4;
2007-09-30;0;0;942,1;23,1;7,6;2,8;
2007-10-31;3;7,4;938,1;25,5;7,1;2,5;
2007-11-30;9;null;935,8;25,1;11,4;2,3;
2007-12-31;12;165,8;936,6;24,6;9,1;2;
2008-01-31;23;294,2;936,9;23,5;6,7;1,9;
2008-02-29;11;124,4;937,3;24,4;7,6;1,8;
2008-03-31;17;140,2;937,5;23,4;7,1;1,6;
2008-04-30;5;59,2;937,1;23,4;8,5;1,4;
2008-05-31;null;0;940,5;20;5,7;1,5;
2008-06-30;0;0;942,3;19,6;5,5;1,5;
2008-07-31;0;0;943,7;18,3;6,5;1,6;
2008-08-31;1;3,8;940,9;21,5;7,4;2;
2008-09-30;7;49,8;940;22,8;7,6;2,2;
2008-10-31;2;42;939;25,8;7,7;2,6;
2008-11-30;17;258,8;936,8;23,7;7,6;2;
2008-12-31;22;429,6;936,2;23,1;7,5;1,8;
2009-01-31;20;201;937,5;24,1;8,9;1,8;
2009-02-28;13;97,8;937,6;24,5;6,9;1,8;
2009-03-31;14;207;936,8;24,6;6,7;1,7;
2009-04-30;8;50;938,9;22,4;5,4;1,4;
2009-05-31;1;24;940,6;20,6;5,3;1,4;
2009-06-30;4;19,6;941,9;19,2;5,5;1,4;
2009-07-31;0;0;941,9;20,5;6;1,6;
2009-08-31;4;35,6;941,8;21;7,2;2,1;
2009-09-30;4;51;939,8;24,4;7,7;2;
2009-10-31;15;244;936,9;23,9;8,8;1,9;
2009-11-30;10;87;936,6;25,3;9,8;1,8;
2009-12-31;20;245;937,1;23,5;7,5;1,9;
2010-01-31;15;181,6;938,2;24,8;6,8;1,9;
2010-02-28;7;25;938,1;25,6;7,7;2;
2010-03-31;16;242;937,5;24,4;9,1;1,7;
2010-04-30;7;17,4;939,5;22,5;6,2;1,7;
2010-05-31;6;39,4;939,6;21,1;6,5;1,5;
2010-06-30;7;14,8;943,4;18;5,5;1,2;
2010-07-31;0;0;943,8;19,6;7,9;2;
2010-08-31;0;0;942,9;19,8;6,6;1,8;
2010-09-30;1;8,2;940,5;23,1;8,2;2,4;
2010-10-31;10;147,2;937,3;24,3;7,2;2;
