Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2007-07-31
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;null;null;null;null;null;
2007-08-31;null;26,8;990,4;21,4;3,7;,8;
2007-09-30;null;43;990,1;22,1;3,1;1;
2007-10-31;null;13,8;985,7;24,6;3,5;1,2;
2007-11-30;null;null;982;26,3;3,5;1,2;
2007-12-31;null;98;982,4;26;3,6;,9;
2008-01-31;null;88,6;982,7;25,3;2,8;,7;
2008-02-29;null;117;982,7;25,9;4,1;,7;
2008-03-31;null;114,2;982,7;25,5;4;,5;
2008-04-30;null;148,6;982,3;25,3;3,1;,4;
2008-05-31;null;4,2;986,1;22,4;3,3;,5;
2008-06-30;null;6,8;988,8;21,6;2,9;,5;
2008-07-31;null;9,8;990,5;20,2;4;,7;
2008-08-31;null;25,6;988;22,4;3,5;,8;
2008-09-30;null;34;987,4;22,8;2,9;,8;
2008-10-31;null;29,4;986,2;25,3;3,3;1,1;
2008-11-30;null;241;982,9;24,2;3,4;,8;
2008-12-31;null;129,2;982,1;24,3;5;,7;
2009-01-31;null;273;983,1;25,2;3,5;,7;
2009-02-28;null;20,8;983,2;26,7;3,1;,9;
2009-03-31;null;238;981,8;26,7;3,3;,7;
2009-04-30;null;91,2;984,2;24,4;2,9;,5;
2009-05-31;null;45,8;986,6;22,1;3;,5;
2009-06-30;null;60,6;988,1;21,3;2,5;,4;
2009-07-31;null;6,2;988,6;21,4;3;,5;
2009-08-31;null;36,2;988,9;22;3,1;,7;
2009-09-30;null;34,4;986,5;24,6;4,4;1;
2009-10-31;null;226,4;982,9;25;3,9;1;
2009-11-30;null;72;982,5;26,1;3,3;,9;
2009-12-31;null;186,4;982,4;25,8;4,7;,6;
2010-01-31;null;44,8;983,9;27,2;3,6;,9;
2010-02-28;null;32,6;983,9;27;3;,8;
2010-03-31;null;108;982,4;26,4;5,2;,5;
2010-04-30;null;47,8;985;24,3;3,7;,4;
2010-05-31;null;null;null;null;2,2;null;
2010-06-30;null;null;null;null;3,1;null;
2010-07-31;null;61,8;990,9;21;2,7;,3;
2010-08-31;null;4,6;990,3;20,8;2,7;,4;
2010-09-30;null;16,2;988,1;23,1;4,2;,7;
2010-10-31;null;85,2;984,2;23,9;3;,6;
2010-11-30;null;256,6;982,1;24,2;2,7;,5;
2010-12-31;null;372;979,9;25,8;3,9;,6;
2011-01-31;null;72;982,2;25,9;3,3;,6;
2011-02-28;null;166,2;983;26,6;3;,5;
2011-03-31;null;280,2;981,9;25,1;2,7;,4;
2011-04-30;null;218,8;985;24;2,5;,6;
2011-05-31;null;7,6;986,6;21,7;2,9;,7;
2011-06-30;null;20,4;987,9;20,9;2,6;,6;
2011-07-31;null;14,4;989,1;20,7;3;,8;
