Nome: SAO ROMAO
Codigo Estacao: A547
Latitude: -16.36277777
Longitude: -45.12388888
Altitude: 490.29
Situacao: Operante
Data Inicial: 2007-06-29
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;null;null;null;null;null;null;
2007-07-31;null;null;960,9;20,8;4,7;1,3;
2007-08-31;null;0;961,6;21,4;6,9;2;
2007-09-30;null;0;960,5;24,4;6,1;2,1;
2007-10-31;null;16,2;956,5;27,1;7,1;1,9;
2007-11-30;null;null;954,5;26,9;6,3;1,9;
2007-12-31;null;146,8;955,6;25,1;7,7;1,6;
2008-01-31;null;160,6;955,7;25,1;6,4;1,6;
2008-02-29;null;76,8;956,3;24,9;6,5;1,4;
2008-03-31;null;135,6;956,4;24,1;5,6;1,3;
2008-04-30;null;100,2;955,9;24,1;4,4;1;
2008-05-31;null;0;959,1;21,1;5;1,3;
2008-06-30;null;0;961,1;20,4;4,9;1,3;
2008-07-31;null;0;962,4;19,3;5,4;1,6;
2008-08-31;null;0;959,5;22,5;5,3;1,7;
2008-09-30;null;16,4;958,5;24,8;5,4;1,7;
2008-10-31;null;3,4;957,1;27,8;6,9;2;
2008-11-30;null;200,6;955,5;25,4;7,8;1,6;
2008-12-31;null;502,8;955,3;24,1;5,5;1,4;
2009-01-31;null;337,4;956,5;24,7;10,1;1,3;
2009-02-28;null;51,2;956,2;25,2;9,4;1,3;
2009-03-31;null;87,6;955,5;25,3;5,2;1,2;
2009-04-30;null;105,4;957,8;23,5;7,9;1,2;
2009-05-31;null;9,8;959,4;21,3;4,2;1,1;
2009-06-30;null;15,2;960,8;20,6;5,2;1,2;
2009-07-31;null;0;960,7;20,8;4,3;1,2;
2009-08-31;null;10,6;960,3;22,5;5,4;1,8;
2009-09-30;null;23,8;958,3;26,1;5,4;1,6;
2009-10-31;null;118,4;955,4;26,4;6,5;1,5;
2009-11-30;null;18,4;955,5;26,8;6,4;1,3;
2009-12-31;null;383,6;956,4;25;6,1;1,5;
2010-01-31;null;74,4;956,8;25,9;7;1,4;
2010-02-28;null;46,2;956,7;25,8;6,1;1,4;
2010-03-31;null;93,4;956,4;25,4;7,9;1,3;
2010-04-30;null;56,4;958,2;23,4;5,1;1,2;
2010-05-31;null;36,8;958,2;23,3;4,3;1,2;
2010-06-30;null;0;962;20,1;4,6;1,4;
2010-07-31;null;0;962,2;21,6;5,2;1,6;
2010-08-31;null;0;961,5;21,6;5,5;1,6;
2010-09-30;null;null;959,9;24,7;5,3;2,1;
2010-10-31;null;null;null;26,5;7,1;null;
2010-11-30;null;206,8;955,4;24,1;6;1,2;
2010-12-31;null;276,2;953,7;24,9;5,7;1,2;
2011-01-31;null;253,2;955,3;24,4;6,3;1,2;
2011-02-28;null;58;955,9;25,2;6,4;1,1;
2011-03-31;null;236;955,7;24,2;5;1,1;
2011-04-30;null;,2;958;23,2;5;1;
2011-05-31;null;4,8;959,2;21,2;4,6;1;
2011-06-30;null;,2;960,3;20,3;7,2;1;
2011-07-31;null;0;960,9;19,9;5,7;1,1;
2011-08-31;null;0;960;22,6;6,1;1,4;
2011-09-30;null;,8;960,2;24;6,6;1,5;
2011-10-31;null;10,4;956,4;24,8;6,2;1,6;
2011-11-30;null;23,8;956,5;23,6;6,7;1,3;
2011-12-31;null;110,4;956;23,8;8,5;1,3;
2012-01-31;null;194,2;956,7;24;4,9;1,2;
2012-02-29;null;29;956,8;24,9;4,3;1,1;
2012-03-31;null;109,4;957,1;25;4,4;1,1;
2012-04-30;null;9,2;957,1;24,7;4,2;1;
2012-05-31;null;13,6;959,9;22,2;5,5;1,2;
2012-06-30;null;,4;960,6;22,5;4,5;1,1;
2012-07-31;null;0;961,1;21,4;5,5;1,3;
2012-08-31;null;0;963;22,3;5,9;2,1;
2012-09-30;null;9,2;960;25,4;5,9;1,7;
2012-10-31;null;3,6;956,6;27,6;5,2;1,7;
2012-11-30;null;262,6;955,4;24,9;6,2;1,3;
2012-12-31;null;29,2;955,2;27,3;5,2;1,3;
2013-01-31;null;305,4;956,5;25;5,1;1,2;
2013-02-28;null;7,6;956,4;25,7;3,7;1;
2013-03-31;null;null;null;null;4,6;null;
2013-04-30;null;108,6;958,5;23,6;4,7;1;
2013-05-31;null;2,4;959,3;22,2;5,2;1;
2013-06-30;null;6;960,4;22,3;6,5;1;
2013-07-31;null;0;961,4;22,1;5;1,2;
2013-08-31;null;0;960,4;23,5;5,1;1,5;
2013-09-30;null;37;959,1;25,7;8,7;1,7;
2013-10-31;null;100,2;957,8;25,1;5,6;1,3;
2013-11-30;null;93,2;955,6;25,8;7,8;1,5;
2013-12-31;null;454,6;954,9;25;6,3;1,3;
2014-01-31;null;62;957,8;25;5,3;1,1;
2014-02-28;null;27,2;956,9;25,3;5,7;1,1;
2014-03-31;null;183,8;957,4;25;5,1;1;
2014-04-30;null;9;957,8;24,9;4,4;,8;
2014-05-31;null;,4;959,1;22,6;3,8;,9;
2014-06-30;null;4;961;21,7;4,6;1,1;
2014-07-31;null;0;963,1;21,5;7,8;1,3;
2014-08-31;null;0;961,3;22,7;6,1;1,5;
2014-09-30;null;0;958,9;26,2;5,5;1,9;
2014-10-31;null;47,4;958;27,1;7,9;1,8;
2014-11-30;null;206,8;956,2;26,6;5,2;1,3;
2014-12-31;null;191,8;957,1;26;4,9;1;
2015-01-31;null;21,4;957,5;26,6;3,9;1;
2015-02-28;null;109,8;957,5;25,2;5,5;1,1;
2015-03-31;null;174,4;957,3;25;6,1;1;
2015-04-30;null;59,8;957,7;25;4,2;,8;
2015-05-31;null;,2;960,1;22,7;5,2;1;
2015-06-30;null;0;962,3;22,1;4,9;1,2;
2015-07-31;null;0;961,8;22,4;5,1;1,2;
2015-08-31;null;0;961;23,3;5,9;1,6;
2015-09-30;null;,2;957,3;27,5;7,6;1,5;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;97;957,3;27,4;6;1,4;
2016-01-31;null;null;956,6;25,6;6,7;1,2;
2016-02-29;null;null;null;null;4,4;null;
2016-03-31;null;null;958,8;25,5;4,5;1;
2016-04-30;null;1,8;958,2;25,1;4,4;1;
2016-05-31;null;0;960,4;23,5;4,1;1,1;
2016-06-30;null;0;962,1;21,6;4,9;1,2;
2016-07-31;null;0;961,7;21,9;6,1;1,3;
2016-08-31;null;1,6;960,5;24;7,3;1,5;
2016-09-30;null;5;958,9;26,9;5;1,5;
2016-10-31;null;77;956,7;27,5;5,4;1,7;
2016-11-30;null;247,4;956,3;26;6,1;1,4;
2016-12-31;null;181,6;956,8;25,5;7,5;1,2;
2017-01-31;null;64;956,6;26,6;6;1,2;
2017-02-28;null;143,2;957,3;25,2;5,4;1,2;
2017-03-31;null;84,8;957;25,7;5,5;1,1;
2017-04-30;null;6,6;958,1;25,6;4,4;1,1;
2017-05-31;null;43,6;959,6;24,1;4,5;1,3;
2017-06-30;null;0;961,5;22,7;4,9;1,5;
2017-07-31;null;0;965,2;21,2;6,2;2,1;
2017-08-31;null;0;960,6;23,1;5,9;1,5;
2017-09-30;null;0;961,6;25,3;6,2;2,2;
2017-10-31;null;25;957;28,3;8,5;2;
2017-11-30;null;209,2;956;25,7;9,4;1,4;
2017-12-31;null;259,4;955,9;25,1;6;1,1;
2018-01-31;null;61,4;956,7;25,8;7,8;1,2;
2018-02-28;null;null;956,4;24,6;4,4;1;
2018-03-31;null;65,6;956,5;25,4;4,1;1;
2018-04-30;null;46,2;959,3;23,5;4,5;1,1;
2018-05-31;null;4;960,8;21,9;5,7;1,2;
2018-06-30;null;0;961,9;21,8;4,2;1,1;
2018-07-31;null;0;961,9;20,9;4,8;1,3;
2018-08-31;null;48;960,9;24,2;9,4;1,5;
2018-09-30;null;3,2;957,6;25,9;5,6;1,6;
2018-10-31;null;49,4;956,3;28,1;6,4;1,5;
2018-11-30;null;194,6;956,9;25,1;5,8;1,2;
2018-12-31;null;204,6;957,6;25;6,1;1,1;
2019-01-31;null;52,8;958,4;26,1;5,2;1,1;
2019-02-28;null;123,8;956,8;26,2;7,4;1,1;
2019-03-31;null;194,8;957,7;26;5,7;1,1;
2019-04-30;null;79,8;957,8;25,2;5,2;,8;
2019-05-31;null;19,8;958,7;23,9;5;,9;
2019-06-30;null;0;962,4;22;4,5;1,3;
2019-07-31;null;0;962,1;21,1;5,2;1,6;
2019-08-31;null;0;962,6;23,7;6,4;1,7;
2019-09-30;null;5,6;959;26,9;6,6;1,8;
2019-10-31;null;23,8;956,6;28,7;5,4;1,9;
2019-11-30;null;164,8;955,3;28,8;8,2;1,7;
