Nome: RIO PARDO DE MINAS
Codigo Estacao: A551
Latitude: -15.72305554
Longitude: -42.43583333
Altitude: 850.06
Situacao: Operante
Data Inicial: 2007-11-16
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;9;null;null;null;null;null;
2007-12-31;13;99,4;917,9;22,6;10,1;2,7;
2008-01-31;10;72,4;918,1;22,4;7,6;2,6;
2008-02-29;13;81,2;918,5;22,6;8,9;2,2;
2008-03-31;14;98,4;918,5;22;6,7;2,2;
2008-04-30;7;82;918,2;21,7;6,9;1,7;
2008-05-31;1;,2;921;19,2;5,8;1,6;
2008-06-30;4;2,8;923,1;18,1;6,3;2,2;
2008-07-31;3;2;924,2;16,8;6,9;2,3;
2008-08-31;0;0;922;19,5;6,6;2,7;
2008-09-30;3;7;921,4;21,3;6;2,7;
2008-10-31;3;4;920,5;23,4;7,3;3,1;
2008-11-30;22;229;917,9;22,4;6,6;2,2;
2008-12-31;21;188,2;917,6;21,8;6,2;2,2;
2009-01-31;17;173,4;918,7;22,5;6,9;2,2;
2009-02-28;6;62;918,5;23;6,8;2,3;
2009-03-31;7;15,4;917,7;23,6;7,2;2;
2009-04-30;17;101,8;919,7;21,4;6,6;2,1;
2009-05-31;11;23,6;921,3;19;7;2,2;
2009-06-30;4;1,6;922,5;19,2;7,2;2,2;
2009-07-31;6;8,4;922,9;19;6,8;2,4;
2009-08-31;10;8;922,7;19,8;7,9;3;
2009-09-30;4;16,4;921,1;22,8;7,4;2,9;
2009-10-31;12;209;918;22,8;7,4;2,6;
2009-11-30;4;91,8;918,1;23,1;7,6;2,5;
2009-12-31;16;144,6;918,5;22,9;7,5;2,4;
2010-01-31;8;49,4;919,2;23,7;7,6;2,7;
2010-02-28;16;192,4;919,2;23,8;13,3;2,9;
2010-03-31;18;274,6;918,7;23;7,4;2,2;
2010-04-30;6;41,8;920,1;21,2;6,9;2,3;
2010-05-31;4;15,6;920,4;20,7;5,7;1,9;
2010-06-30;5;2;923,8;17,8;7,9;2,3;
2010-07-31;4;1,2;924,3;18,3;8,7;3,3;
2010-08-31;0;0;923,7;18,6;8,8;3,2;
2010-09-30;4;4,2;921,8;20,8;9,2;3,6;
2010-10-31;10;51,2;918,7;23,4;8,2;2,9;
2010-11-30;20;298,2;917,5;22;8,2;2,4;
2010-12-31;16;194;916,1;22,5;6,3;2,1;
2011-01-31;10;82,4;917,7;22,3;6;2,2;
2011-02-28;5;53,6;918,4;23,1;8,1;2,2;
2011-03-31;15;215,2;917,8;22,2;8;1,6;
2011-04-30;15;70,4;920;21,2;7;2;
2011-05-31;6;8,4;921,1;18,9;5,7;1,6;
2011-06-30;2;,4;922,3;18,2;6,3;1,4;
2011-07-31;4;3,8;922,9;18,1;6,8;1,9;
2011-08-31;3;3,8;922,6;19,8;8,1;2,2;
2011-09-30;0;0;923,1;19,9;7,3;2,7;
2011-10-31;4;null;null;21,6;6,3;null;
2011-11-30;6;null;null;null;7;null;
2011-12-31;11;64,8;918,2;21,9;7,2;1,9;
2012-01-31;8;90,6;919,1;21,9;6,2;2,3;
2012-02-29;6;10;919,3;22,4;6,7;2,5;
2012-03-31;5;5;919,4;22,8;7,2;2,2;
2012-04-30;1;1,2;919,3;22,9;8;2,1;
2012-05-31;3;null;null;null;null;null;
2012-06-30;1;null;null;null;null;null;
2012-07-31;1;,8;923,2;19,1;7,7;2,3;
2012-08-31;7;3,8;925;18,5;8;3;
2012-09-30;2;1;922,8;21,5;7,1;2,7;
2012-10-31;2;,4;919,9;22,9;6,9;3,2;
2012-11-30;23;306,2;917,8;21,7;6,2;1,8;
2012-12-31;2;66,2;918;23,8;6,1;2,1;
2013-01-31;11;82,2;918,8;23,2;6,4;2,2;
2013-02-28;3;,8;919;23,4;9,2;2,6;
2013-03-31;9;45,2;919;23,8;8,9;2,2;
2013-04-30;7;118,6;920,4;21,5;6;1,4;
2013-05-31;7;5,6;921,2;20,5;5,5;,7;
2013-06-30;3;10,2;922,5;19,6;5,8;,5;
2013-07-31;4;2,8;923,5;18,8;7;2,3;
2013-08-31;4;1,6;922,9;19,5;6,4;2,9;
2013-09-30;7;6,2;921,9;21,4;8,5;3,2;
2013-10-31;10;63,6;920,5;21,6;7,6;3;
2013-11-30;12;227,2;918,3;22,3;7,2;2,9;
2013-12-31;22;298,2;917,3;22;7,1;1,9;
2014-01-31;7;36;920,2;22,3;6,8;2,7;
2014-02-28;4;24,8;919,4;22,6;7;2,9;
2014-03-31;10;94,8;919,7;22,3;6,4;2,3;
2014-04-30;5;18;920,1;22;8;2;
2014-05-31;3;5,2;921,1;20,4;5,7;2;
2014-06-30;6;8,8;923;19;6,5;2,4;
2014-07-31;3;32,2;925,1;18,4;6,8;2,6;
2014-08-31;0;0;923,8;19;8,4;2,7;
2014-09-30;0;0;921,9;21,2;7;3;
2014-10-31;5;54,6;921,1;22,2;7,7;3,2;
2014-11-30;12;165;918,8;22,2;5,8;2,5;
2014-12-31;10;202,2;919,5;22,1;6,1;2,4;
2015-01-31;4;39,8;920,3;23,4;5,9;2,5;
2015-02-28;8;77,4;919,9;22,7;8,6;2,5;
2015-03-31;7;49,6;919,5;22,8;6;2,1;
2015-04-30;9;75,4;920;21,9;6,8;1,9;
2015-05-31;11;25;922,2;19,9;6;2,2;
2015-06-30;8;5,2;924,3;18,8;5,9;2,5;
2015-07-31;6;10;924,1;18,9;7,5;2,5;
2015-08-31;8;28,2;923,5;19,2;7,2;2,7;
2015-09-30;0;0;920,6;23,3;7,4;2,7;
2015-10-31;3;20;920,5;24,2;6,3;3;
2015-11-30;7;134,6;918,1;24,8;7,9;2,5;
2015-12-31;6;34,8;919,8;24,8;7,2;2,4;
2016-01-31;24;350,8;918,6;22,8;7;2,2;
2016-02-29;2;11,6;920,2;23,6;5,4;2,2;
2016-03-31;4;22,6;920,7;23,2;5,7;2,2;
2016-04-30;2;1,8;920,6;22,4;7,2;2,3;
2016-05-31;2;1,4;922,5;20,3;5,8;1,8;
2016-06-30;6;11;923,9;19;6,5;2;
2016-07-31;4;6,4;923,8;18,6;7,2;2,3;
2016-08-31;2;1,4;922,9;20,7;5,8;2,6;
2016-09-30;2;8,8;921,9;22;6,6;2,9;
2016-10-31;9;81,8;919,7;23,2;6,6;3,1;
2016-11-30;13;135;918,8;22,6;9,3;2,7;
2016-12-31;14;104,2;919,1;22,7;8,8;2,5;
2017-01-31;4;46,8;919,3;23,5;5,8;2,6;
2017-02-28;12;136,4;919,5;22,4;7,5;2,5;
2017-03-31;4;78,2;919,2;23,2;6,5;2,4;
2017-04-30;6;26,4;920,5;21,8;5,7;2,3;
2017-05-31;11;25,6;921,7;20,1;5,7;2,3;
2017-06-30;4;4,2;923,5;19,1;6;,9;
2017-07-31;12;null;926,4;17;7,4;2,8;
2017-08-31;2;,4;923;18,5;6,6;2,3;
2017-09-30;1;,4;924,2;20,1;7;3,5;
2017-10-31;null;null;920,3;23,2;7,2;3,3;
2017-11-30;4;null;null;23,2;6,7;null;
2017-12-31;13;171,8;918,2;22,4;6,5;2,1;
2018-01-31;9;61;919;23,1;6,5;2,5;
2018-02-28;16;241,2;918,5;22,3;6;2;
2018-03-31;11;null;918,2;22,9;6;1,7;
2018-04-30;8;4,4;921,1;21,1;5,5;2,1;
2018-05-31;9;13,8;922,5;19,8;5,2;1,8;
2018-06-30;3;1,6;923,8;19;5,3;1,7;
2018-07-31;3;1,6;923,8;18,3;5,6;1,8;
2018-08-31;0;0;923,1;20,9;6;2,1;
2018-09-30;1;1,8;920,4;22,4;5,4;2,4;
2018-10-31;11;83;919,1;23,5;6,2;2,3;
2018-11-30;13;187,6;919,3;21,9;5,6;2,3;
2018-12-31;17;228,4;919,6;22,1;6,5;1,6;
2019-01-31;4;36,6;920,9;23,2;6,7;2,3;
2019-02-28;9;50,8;918,9;24,2;6,3;1,7;
2019-03-31;11;77,2;919,6;23,7;6,6;1,7;
2019-04-30;8;78,4;919,9;22,8;5,7;1,3;
2019-05-31;4;24,6;920,8;21,5;4,8;1,4;
2019-06-30;6;4,4;924,1;19,1;6,5;1,7;
2019-07-31;7;8,8;923,8;18;6,2;2;
2019-08-31;8;11;925;19,2;7,1;2,5;
2019-09-30;3;4;922;21,5;7,3;2,7;
2019-10-31;4;48,8;919,8;23,4;6;2,9;
2019-11-30;6;117,8;918;23,9;6,3;2,3;
2019-12-31;6;99,4;918,7;23,6;11,8;2,3;

