Nome: MANHUACU
Codigo Estacao: A556
Latitude: -20.26333333
Longitude: -42.18277777
Altitude: 819.47
Situacao: Operante
Data Inicial: 2010-09-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-09-30;2;null;null;null;null;null;
2010-10-31;11;136,2;922,3;19,9;7,8;2,6;
2010-11-30;22;328,8;920,5;20,5;7,2;2,5;
2010-12-31;21;627,2;918,6;22,2;7,6;2,1;
2011-01-31;10;69,4;920,8;22,6;7,4;2,4;
2011-02-28;6;63,2;921,9;22,7;6,6;2,1;
2011-03-31;10;null;921,2;21,2;7,4;1,5;
2011-04-30;9;null;null;20,7;6,1;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;6;1,4;925,7;18,3;7,8;2;
2011-09-30;5;4,8;926,6;18,2;7,5;2,3;
2011-10-31;14;null;921,9;19,7;6,4;2,5;
2011-11-30;6;null;null;19,8;8,7;null;
2011-12-31;6;null;null;null;7,5;null;
2012-01-31;5;null;null;21,7;8,9;null;
2012-02-29;8;7;922,5;22;8,8;2,6;
2012-03-31;14;101;922,7;21,2;6,3;1,8;
2012-04-30;14;48,4;922,7;20,5;5,5;1,6;
2012-05-31;17;78,6;925,3;17,7;7,1;1,6;
2012-06-30;18;5,2;926;17,9;5,6;1,4;
2012-07-31;10;2;926,4;16,6;6,5;1,7;
2012-08-31;9;4,6;929,1;17;7,2;2,2;
2012-09-30;6;11,8;926;19,5;8,7;2,3;
2012-10-31;6;114,2;923,2;21,1;8,5;3;
2012-11-30;24;284;920,6;20,5;8,2;2,4;
2012-12-31;13;144,2;920,7;23,2;7,8;2;
2013-01-31;19;324;921,6;21,8;8,9;2,3;
2013-02-28;11;61;922,3;22,1;8,7;2;
2013-03-31;21;272,8;922,4;21,8;8,8;1,8;
2013-04-30;18;46,2;923,7;19,3;5,9;1,6;
2013-05-31;19;76,6;924,5;17,8;6,3;1,5;
2013-06-30;23;22,4;925,7;17,5;5,4;1,2;
2013-07-31;15;26,8;926,9;17;6,3;1,5;
2013-08-31;10;8,6;926,3;17,5;7,1;1,9;
2013-09-30;4;null;null;17,7;7,5;null;
2013-10-31;7;null;923,6;19,9;7,2;2,3;
2013-11-30;13;91,8;921,8;20,7;8;2,6;
2013-12-31;27;271,8;919,3;21,8;8,3;2;
2014-01-31;7;1,4;923,3;22,5;6,7;2,2;
2014-02-28;null;null;922,9;22,6;12,1;2,8;
2014-03-31;null;null;923,1;21,5;7,8;2,1;
2014-04-30;null;null;923,3;20,4;7,5;1,6;
2014-05-31;null;null;924,4;18;6;1,5;
2014-06-30;10;3,2;926,4;17,2;5,9;1,4;
2014-07-31;10;46,2;928,6;16,5;6,7;1,9;
2014-08-31;5;3,4;927;17,2;7,6;1,8;
2014-09-30;2;,6;925,2;19,5;7,1;2,7;
2014-10-31;null;null;924,6;20,3;9;2,7;
2014-11-30;null;null;921,7;21,1;6,4;2,5;
2014-12-31;7;92,8;922,2;22;8,6;2,2;
2015-01-31;5;49;923,2;23,4;6,1;2,2;
