Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2015-08-20
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;5;51,8;935,4;24,5;8,3;2,3;
2015-10-31;2;70,4;935,1;26,8;5,6;2,4;
2015-11-30;5;47;933;26;8,4;2,4;
2015-12-31;16;127,6;935,3;24,6;9;2,2;
2016-01-31;19;393,2;933,3;23,9;8,5;2,4;
2016-02-29;7;82;935,3;25,3;7,9;2;
2016-03-31;9;110,6;936,3;24,2;6,8;2;
2016-04-30;2;41,4;936,2;23,6;6,6;2,1;
2016-05-31;1;7;938,1;21,2;4,7;1,9;
2016-06-30;1;6,2;939,8;19,2;5,1;2,1;
2016-07-31;0;0;939,2;20,4;5,5;2,3;
2016-08-31;2;10,8;938;21,9;10,1;2,5;
2016-09-30;5;28;null;24,4;8,6;2,5;
2016-10-31;9;120,8;null;25;7,7;2,7;
2016-11-30;16;261,4;933,9;23,2;6,9;2,3;
2016-12-31;16;126,6;934,3;23,9;9,7;2,3;
2017-01-31;8;151,2;934,5;25;6,8;2;
2017-02-28;10;92,6;934,9;23,9;5,1;2,2;
2017-03-31;5;37,2;934,9;23,8;5,3;2;
2017-04-30;6;110,8;936;23,3;5,2;2,1;
2017-05-31;7;45;937,3;20,8;5,5;1,8;
2017-06-30;2;24,2;939,5;19,4;5,6;2,1;
2017-07-31;null;0;943,1;17,8;7;2,5;
2017-08-31;null;null;null;null;5,6;null;
2017-09-30;null;null;null;null;5,9;null;
2017-10-31;2;null;934,9;26;7,1;2,7;
2017-11-30;19;151,8;933,5;23,2;6,7;2,4;
2017-12-31;16;251;null;24,1;6,7;2,2;
2018-01-31;3;null;null;null;null;null;
2018-02-28;1;null;null;null;null;null;
2018-03-31;1;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;null;null;null;

