Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;5;null;null;20,6;6,2;null;
2017-06-30;null;0;912,4;19,7;6,1;1,6;
2017-07-31;0;0;915,4;18,1;6,3;2,1;
2017-08-31;null;0;911,1;21,8;7,3;2;
2017-09-30;2;null;912;22,3;5,7;2,1;
2017-10-31;10;57,4;908,2;24,6;null;null;
2017-11-30;21;169,8;906,9;22,1;10,2;null;
2017-12-31;16;236,6;906,7;22,7;5,8;null;
2018-01-31;14;215,2;907,8;23;6,5;null;
2018-02-28;16;122,2;907,1;22,5;6,5;1,7;
2018-03-31;14;192,8;907,6;23,3;5,5;1,5;
2018-04-30;10;53,6;910,3;21,2;5,1;1,3;
2018-05-31;3;23,4;911,6;19,6;5,4;1,3;
2018-06-30;null;0;912,4;20,2;5,5;1,4;
2018-07-31;0;0;912,4;20,1;7,1;1,6;
2018-08-31;5;20,2;911,7;21,3;6,1;1,8;
2018-09-30;7;34,6;908,7;23,3;7,6;2;
2018-10-31;11;127;907,7;23,8;7,7;1,8;
2018-11-30;15;339;907,8;21,7;6,1;1,9;
2018-12-31;18;195,4;908,2;22,9;6,3;1,8;
2019-01-31;10;128,4;909,8;24,1;8,5;1,3;
2019-02-28;15;254,4;908;23,4;8,7;1,7;
2019-03-31;18;186,4;909,1;22,7;5,8;1,3;
2019-04-30;13;105,8;909;22,4;8,5;1,3;
2019-05-31;7;127,2;910;21,2;4,2;,8;
2019-06-30;1;3,4;913,1;19,5;6;1,3;
2019-07-31;0;0;912,5;18,9;7,2;1,3;
2019-08-31;0;0;913,2;21,3;6,6;1,3;
2019-09-30;1;null;910;25,3;6,3;1,6;
2019-10-31;10;52,2;908,1;24,5;5,8;1,4;
2019-11-30;19;116,4;906,8;23,8;10,7;1,9;
2019-12-31;20;281,2;907,6;23,1;6;1,7;

