Nome: NOVA PORTEIRINHA (JANAUBA)
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2016-11-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;1;null;null;null;null;null;
2016-12-31;6;111,2;952,2;26,5;8,7;2,3;
2017-01-31;4;36,4;951,9;28,5;8,2;2,5;
2017-02-28;7;68;952,5;26,4;7,6;2,3;
2017-03-31;8;98,8;952,1;27,4;8,1;2,7;
2017-04-30;3;1,6;953,3;26,7;8,9;2,9;
2017-05-31;3;12,6;954,7;25,1;8,4;2,8;
2017-06-30;null;0;956,7;24;8,6;2,9;
2017-07-31;0;0;960,5;21,9;10,1;null;
2017-08-31;null;0;956,1;23,9;9,2;3,3;
2017-09-30;null;null;957,1;25,3;9,4;3,6;
2017-10-31;1;,4;952,6;28,5;8,3;2,9;
2017-11-30;13;119,4;951,2;26,2;9,1;2,5;
2017-12-31;14;276;951,3;25,4;6,8;2;
2018-01-31;7;37,2;951,9;26,9;6,5;1,9;
2018-02-28;15;260;951,7;25;7,3;1,9;
2018-03-31;9;46,4;951,9;25,5;7,1;1,8;
2018-04-30;1;,4;954,3;25,3;8,3;3,4;
2018-05-31;2;14,4;955,7;24,4;9,8;3,5;
2018-06-30;1;,4;957;23,8;8,5;2,9;
2018-07-31;0;0;957,1;23,3;8,6;2,7;
2018-08-31;0;0;956,1;25,5;8;2,8;
2018-09-30;1;,2;953;26,8;9,1;2,6;
2018-10-31;6;null;null;null;7;null;
2018-11-30;13;170,8;952,2;25,6;7,3;2,2;
2018-12-31;16;146;953;24,6;7,6;1,7;
2019-01-31;0;0;953,7;27,9;6,5;2,4;
2019-02-28;14;141,6;951,9;27,2;6,8;1,8;
2019-03-31;14;146;952,6;27,2;8,1;2,2;
2019-04-30;7;48,8;953;25,9;6;1,6;
2019-05-31;3;14,6;953,7;26;8,7;2,4;
2019-06-30;0;0;957,5;24,1;10,2;3,4;
2019-07-31;0;0;957,2;22,8;10,9;3,3;
2019-08-31;null;0;958,2;24,2;8,9;3,3;
2019-09-30;0;0;954,8;26,7;null;null;
2019-10-31;7;71,2;952,3;28;7,7;null;
2019-11-30;6;60,2;950,6;28,3;7,2;2,1;
2019-12-31;7;39;951,3;28,1;7;2,3;

