Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;1;null;null;null;null;null;
2017-11-30;18;223,8;924,2;22,8;7,6;2,2;
2017-12-31;15;354,8;923,7;23,6;8,2;2;
2018-01-31;16;346;924,9;23,9;null;null;
2018-02-28;16;150,4;924,4;23,3;6,1;2;
2018-03-31;12;62,6;924,6;24;6,6;1,7;
2018-04-30;3;3;928;21,7;6,1;2,1;
2018-05-31;2;23,4;929,3;19;7,1;2;
2018-06-30;3;9,6;930,2;19,2;5,7;1,8;
2018-07-31;0;0;930,1;18,5;5;1,9;
2018-08-31;9;46,6;929,6;19,4;null;null;
2018-09-30;9;48,2;926,2;22,1;6,3;2,1;
2018-10-31;16;132,8;925,1;23,6;7,9;2,2;
2018-11-30;18;350,2;925,4;22,4;7,5;2;
2018-12-31;15;201,2;925,2;23,6;8,4;2;
2019-01-31;9;115,8;927;25,2;8,1;1,9;
2019-02-28;14;378,4;925,1;24;9,4;1,9;
2019-03-31;13;167,6;926,4;23,4;6,3;2;
2019-04-30;9;92;926,1;22,9;5,5;1,8;
2019-05-31;8;19,8;927,2;21;5,4;1,7;
2019-06-30;2;15,8;931;18,6;9,1;2;
2019-07-31;1;,8;930,4;17,4;7;2,2;
2019-08-31;0;0;931,2;20,1;8,3;2,5;
2019-09-30;2;57,2;927,6;23,9;7,2;2,3;
2019-10-31;8;95,8;925,6;24,3;8,6;2,3;
2019-11-30;18;156,6;924,2;23,4;8,9;2,3;
2019-12-31;14;309,8;924,8;23,7;6,4;2,1;

