Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Pane
Data Inicial: 2016-11-22
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;2;null;null;null;null;null;
2016-12-31;14;140;935,1;23,1;9,7;1,6;
2017-01-31;18;116;935,5;24;6,4;1,5;
2017-02-28;14;84,6;935,8;23,2;5,9;1,6;
2017-03-31;9;80,8;936;22,8;7;1,3;
2017-04-30;9;33,8;937,2;22,1;7;1,3;
2017-05-31;11;103,4;938,4;19,4;7,4;1,1;
2017-06-30;4;26,8;940,7;17,3;6,9;1,2;
2017-07-31;1;2,2;944,4;15,1;6,8;1,4;
2017-08-31;null;0;939,2;18,5;8,8;1,3;
2017-09-30;2;41,4;940,2;19,5;7,2;1,7;
2017-10-31;10;88,2;935,8;22,9;7,2;1,5;
2017-11-30;17;185,8;934,3;22,8;6,6;1,7;
2017-12-31;17;251,6;933,9;23,5;6,5;1,5;
2018-01-31;19;252,2;935;23,5;8,6;1,4;
2018-02-28;19;154,8;934,5;23,2;5,3;1,4;
2018-03-31;15;83,6;934,7;23,8;4,5;1,2;
2018-04-30;8;42,2;938,3;21,1;5;1,2;
2018-05-31;3;20,2;939,7;18,1;4,9;1;
2018-06-30;1;,2;940,4;18,3;4,4;,9;
2018-07-31;0;0;940,5;16,8;4,3;,9;
2018-08-31;7;31,4;939,9;18,5;6,7;1,3;
2018-09-30;9;42,6;936,4;21,1;6,8;1,4;
2018-10-31;18;120,4;935,2;23,5;7,9;1,5;
2018-11-30;22;460,8;935,5;22,1;8;1,9;
2018-12-31;19;260,8;935,4;23,5;8,9;1,5;
2019-01-31;13;115;937,2;24,4;7,1;1,4;
2019-02-28;16;304,6;935,2;23,6;7,3;1,4;
2019-03-31;17;155,4;936,7;23;10,1;1,2;
2019-04-30;13;140,4;936,3;22,6;4,5;1;
2019-05-31;3;null;937,4;21,4;4,7;1;
2019-06-30;3;null;null;17;5,6;null;
2019-07-31;2;,6;940,9;15,7;7,4;1,2;
2019-08-31;2;5;941,5;18,6;5,1;1,3;
2019-09-30;3;59,8;937,7;22,6;4,7;1,4;
2019-10-31;8;38,4;935,8;23,3;8,1;1,5;
2019-11-30;18;222,2;934,2;23,7;7,8;1,5;
2019-12-31;20;220,4;934,9;23,4;6,2;1,4;

