Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;1;null;null;null;null;null;
2017-06-30;null;0;982,8;22,8;7,6;1,4;
2017-07-31;3;3;987,1;20,7;6,6;2;
2017-08-31;null;0;982,8;21,5;7,1;1,5;
2017-09-30;1;1;983,9;24,2;7,3;2,6;
2017-10-31;3;10,4;978,7;27,6;8;2,8;
2017-11-30;13;93,2;976,9;25,7;7,4;1,6;
2017-12-31;17;168,8;976,5;24,8;4,3;,9;
2018-01-31;6;33,2;977,1;27,2;6,4;1,5;
2018-02-28;13;243,6;976,8;25,5;6;1;
2018-03-31;11;122;976,8;25,5;4,9;,7;
2018-04-30;9;22,6;980,2;23,9;5,3;,8;
2018-05-31;6;12,6;981,8;22,8;5,6;1,1;
2018-06-30;2;,8;983,2;22,3;5,9;1,1;
2018-07-31;2;1,2;983,3;21,6;6;1,2;
2018-08-31;1;,2;982,4;24,6;8;1,7;
2018-09-30;2;4,4;979,1;26;5,8;2;
2018-10-31;11;96,8;977,6;27,2;10,5;2;
2018-11-30;10;93,2;978;25,3;5,2;1,4;
2018-12-31;14;138,4;977,9;24,9;8,7;,9;
2019-01-31;6;30,2;979,1;27,3;11,1;1,6;
2019-02-28;9;116,6;976,7;27,6;7,1;1,2;
2019-03-31;10;53,2;977,8;27,5;6,7;1,1;
2019-04-30;11;27;978;26,7;5,6;1,1;
2019-05-31;5;6,6;979,2;25,4;5,3;1,1;
2019-06-30;3;4,4;983,6;23,3;6,5;1,4;
2019-07-31;1;,2;983,4;21,6;6,7;1,4;
2019-08-31;6;8;984,7;23,1;7,6;1,9;
2019-09-30;3;1,8;981,1;25,6;6,8;2,3;
2019-10-31;3;64,2;978,4;27,7;5,9;2,5;
2019-11-30;6;43,6;976,1;28,3;6,3;1,9;
2019-12-31;9;65,6;976,9;27,7;7,1;1,7;

