Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-07-31;null;null;null;null;null;null;
2017-08-31;5;13,8;908,9;18,7;11,3;1,8;
2017-09-30;3;47;909,8;21,5;7,6;2,1;
2017-10-31;14;132;905,9;22,2;8,1;2,1;
2017-11-30;13;156,6;904,1;20,9;10,1;2,2;
2017-12-31;21;212,6;903,9;21,9;11,8;1,7;
2018-01-31;21;155,4;905;22,2;9,6;1,8;
2018-02-28;20;110,2;904,6;21,8;8,4;1,7;
2018-03-31;20;126,6;904,8;22,8;7,5;1,5;
2018-04-30;6;27,6;908,2;20,7;6;1,5;
2018-05-31;5;80,4;909,2;18,6;7,3;1,3;
2018-06-30;6;31,8;910;18,6;5,2;1,2;
2018-07-31;2;9,8;909,9;18,4;4,2;1,2;
2018-08-31;12;63,2;909,5;17,8;10,3;1,7;
2018-09-30;10;86;906,3;20,4;9,3;1,9;
2018-10-31;null;null;null;null;11,9;null;
2018-11-30;null;null;null;null;6,5;null;
2018-12-31;19;248;905,3;22,4;9,7;1,8;
2019-01-31;13;142,4;907,2;23,6;8;1,8;
2019-02-28;18;173,2;905,2;22,3;7,4;1,6;
2019-03-31;18;140,2;906,8;21,8;6,6;1,5;
2019-04-30;14;121,6;906,2;21,8;8,3;1,3;
2019-05-31;6;95,6;907,3;19,9;6,6;1,2;
2019-06-30;1;,4;910,9;18,2;7,9;1,4;
2019-07-31;4;22,4;910,1;16,9;6,5;1,6;
2019-08-31;7;18,8;911,3;18;5,7;1,6;
2019-09-30;8;91,2;907,9;21,9;9;1,9;
2019-10-31;9;34,8;905,9;22,7;9,4;1,9;
2019-11-30;19;143,2;904,5;21,7;14,7;1,9;
2019-12-31;17;162,8;904,9;22,1;7,6;1,8;

