Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;2;null;null;null;null;null;
2017-06-30;2;22;930,6;19,2;7,4;2,5;
2017-07-31;0;0;933,8;17,6;8,9;3;
2017-08-31;null;0;928,8;21,7;8;2,8;
2017-09-30;1;null;929,4;23,7;7,8;3,5;
2017-10-31;13;110;925,7;25;8,5;2,9;
2017-11-30;19;399,2;924,3;23,4;8,3;2,6;
2017-12-31;23;284,4;924,3;23,5;8,4;2,1;
2018-01-31;24;419,6;925,5;23,5;null;null;
2018-02-28;16;267,6;924,9;23,5;5,7;null;
2018-03-31;10;54,2;925,3;24,6;6,6;2,1;
2018-04-30;11;121,2;928,3;22,1;6,4;2,1;
2018-05-31;4;60,8;929,6;20;6,9;2,4;
2018-06-30;null;0;930,4;20,6;6,9;2,3;
2018-07-31;1;,2;930,4;19,8;7,7;2,6;
2018-08-31;7;34,6;929,8;20,9;8,1;2,5;
2018-09-30;8;63,4;926,4;23,2;10;2,5;
2018-10-31;14;284,6;925,5;24,3;8,3;2,3;
2018-11-30;22;363,2;925,2;22,9;7,4;2,8;
2018-12-31;21;214,8;925,9;24,1;8,1;2;
2019-01-31;17;66,6;927,6;25;6,2;2,2;
2019-02-28;15;401,4;925,7;23,9;11,2;2;
2019-03-31;18;252,4;927,1;23,4;7,7;2;
2019-04-30;10;195,8;926,9;23,4;5,4;1,8;
2019-05-31;6;29,2;928;21,6;6,3;2;
2019-06-30;0;0;931,2;19,6;7,4;2,6;
2019-07-31;2;1,6;930,4;19,3;7,3;2,7;
2019-08-31;3;40,2;931,2;21,2;7,5;2,8;
2019-09-30;3;57,2;927,4;25,5;9,8;2,7;
2019-10-31;10;140,2;925,8;25,1;9,5;2,5;
2019-11-30;16;167,8;924,5;24,2;7;2,3;
2019-12-31;24;259,2;925,3;23,7;10,8;2,1;

