Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2017-10-18
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;23;307,8;900;21,7;7,1;null;
2018-01-31;19;263;901,2;22,2;null;null;
2018-02-28;14;94;900,7;21,7;7,1;null;
2018-03-31;15;192,4;900,9;22,5;6,7;2,3;
2018-04-30;8;37,6;904,1;20;6,6;2,6;
2018-05-31;4;39,6;905,2;18,1;6,4;null;
2018-06-30;4;22,6;906;18,4;null;null;
2018-07-31;1;,4;905,9;18,2;null;null;
2018-08-31;10;106,2;905,5;18;6,9;null;
2018-09-30;10;50,6;902,4;20,2;null;null;
2018-10-31;17;238,6;901,4;21,3;null;null;
2018-11-30;22;245,4;901,6;20,6;7,4;null;
2018-12-31;18;248,4;901,5;22;7,3;2,6;
2019-01-31;10;114,2;903,3;23,7;6,7;2,3;
2019-02-28;19;294,2;901,4;22,5;null;null;
2019-03-31;19;145,6;902,7;21,7;7,7;null;
2019-04-30;13;108,4;902,3;21,4;5,4;null;
2019-05-31;5;25,8;903,3;20,1;null;null;
2019-06-30;1;10,2;906,9;17,9;7,8;2,4;
2019-07-31;1;,6;906,1;17;8,3;2,6;
2019-08-31;3;1,8;907,1;18,6;7,9;3;
2019-09-30;4;50,4;903,9;22,3;8;2,9;
2019-10-31;11;99,8;902;22,3;null;null;
2019-11-30;22;266,4;900,6;21,4;null;null;
2019-12-31;17;210,2;901,1;22;null;null;

