Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;4;null;null;24,8;6;null;
2018-04-30;10;67,4;934,9;23;8,3;2;
2018-05-31;2;6,4;936,3;21,6;6,3;1,8;
2018-06-30;0;0;937,2;21,7;6,3;1,8;
2018-07-31;0;0;937,2;21,3;5,7;1,8;
2018-08-31;null;null;936,3;23,5;7,5;2,2;
2018-09-30;5;16,6;933,1;25,2;6,8;2,3;
2018-10-31;null;null;932;26,4;7,8;2,3;
2018-11-30;8;47,4;932,3;23,4;6,6;2,4;
2018-12-31;24;268,2;932,8;24,7;8;2,1;
2019-01-31;5;21,4;934,1;26,2;6,9;2;
2019-02-28;15;224,2;932,5;25,2;12,2;2;
2019-03-31;13;143,4;933,6;24,5;8,5;1,9;
2019-04-30;12;73;933,5;24,4;10,2;1,6;
2019-05-31;5;81,8;934,5;23,2;5,3;1,6;
2019-06-30;0;0;937,9;21,3;6,9;1,9;
2019-07-31;0;0;937,4;20,6;6,3;1,9;
2019-08-31;0;0;937,8;23,2;7,5;2,3;
2019-09-30;3;7,8;934,3;26,5;7,2;2,4;
2019-10-31;7;50,8;932,3;27,2;8,7;2,4;
2019-11-30;13;198,8;931,1;25,9;7,1;2,3;
2019-12-31;22;165,4;932;24,9;11,3;null;

