Nome: MACAE
Codigo Estacao: A608
Latitude: -22.3761111
Longitude: -41.81194444
Altitude: 28
Situacao: Operante
Data Inicial: 2006-09-21
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;4;null;null;null;null;null;
2006-10-31;14;77;1011,9;22,7;8,8;3,3;
2006-11-30;21;170,6;1010;23,5;10;3,2;
2006-12-31;15;128,6;1010,3;25;8,4;3,1;
2007-01-31;21;328,4;1008,6;25,1;8,6;2,7;
2007-02-28;7;88;1010,2;25,5;7,9;3,3;
2007-03-31;6;47,6;1011,1;26,1;8,6;3;
2007-04-30;16;93,6;1012,5;24,8;7,6;2,2;
2007-05-31;15;74,8;1014;21,5;6,2;2,3;
2007-06-30;13;17,6;1015,6;21,3;6,9;2,4;
2007-07-31;8;29,6;1015,8;21;7,9;2,8;
2007-08-31;6;23,6;1017,8;21,3;8,3;3,4;
2007-09-30;12;25;1017,4;21,7;9,1;4;
2007-10-31;9;246,4;1012,5;23,3;9,6;3,7;
2007-11-30;17;174;1009,9;23,5;8;2,8;
2007-12-31;14;135;1008,7;25,1;8,5;2,9;
2008-01-31;16;345;1009,4;24,3;7,8;2,6;
2008-02-29;15;133,4;1009,2;25;7,3;2,3;
2008-03-31;15;141;1009,5;24,8;6,3;2;
2008-04-30;22;256;1009,3;24,3;5,6;1,9;
2008-05-31;10;41,6;1013,7;21,5;6,6;2,1;
2008-06-30;13;43,2;1016,1;21;7,9;2,3;
2008-07-31;13;29,8;1017,9;20,1;7,3;2,3;
2008-08-31;4;null;null;null;7,2;null;
2008-09-30;16;141,4;1015,1;20,9;8;2,7;
2008-10-31;16;158;1013,7;22,8;9,6;3,1;
2008-11-30;24;352,6;1011,1;22,8;7,5;2,2;
2008-12-31;22;223,6;1008,8;23,5;7,6;2,6;
2009-01-31;20;291;1009,2;25,2;7,1;2,6;
2009-02-28;10;143;1009,4;26,2;7,9;2,9;
2009-03-31;11;79;1009;25,6;6,6;1,9;
2009-04-30;17;142,2;1012,2;23,4;7,1;1,7;
2009-05-31;12;53,8;1013,7;22,4;6,6;2,1;
2009-06-30;15;65,4;1015,6;20,2;5,9;2;
2009-07-31;14;47;1015,5;21;6;2,4;
2009-08-31;10;26,2;1016;21,3;7,7;2,8;
2009-09-30;12;89,6;1013,1;22,8;7,9;2,8;
2009-10-31;20;137,4;1010,5;23,2;7,4;2,5;
2009-11-30;10;105,4;1008,2;26;8,5;3,1;
2009-12-31;18;273,2;null;25,7;7,6;2,3;
2010-01-31;6;52,6;null;27;8,2;3,3;
2010-02-28;2;180,4;null;27,2;8,8;3,5;
2010-03-31;16;168,2;null;25,8;7,3;2;
2010-04-30;19;100;null;23,9;6;2,2;
2010-05-31;12;57;1012,4;22,2;6,5;2;
2010-06-30;13;42,8;1017,3;19,7;6,8;2,1;
2010-07-31;10;112;1018,1;21,1;7;2,6;
2010-08-31;10;9,8;1017,2;20,4;7,8;2,8;
