Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;5;null;964,3;15,6;5,4;1,5;
2016-07-31;2;3,2;961,6;17,3;7,2;1,4;
2016-08-31;6;20,4;960,2;18,4;7,3;1,8;
2016-09-30;10;24,2;959,7;19,8;7,2;2;
2016-10-31;16;57,4;957,2;21,1;7,7;2,1;
2016-11-30;19;206,6;955,9;21,4;7,2;1,9;
2016-12-31;18;251,4;955,3;23,3;7,1;1,8;
2017-01-31;19;287,2;955,6;24,2;10,4;null;
2017-02-28;10;107,2;956,2;24,4;null;null;
2017-03-31;17;293,2;957;22,5;null;null;
2017-04-30;19;84,4;958,7;21;4,8;1,6;
2017-05-31;15;61,4;959,5;18,8;6;1,5;
2017-06-30;11;null;961,7;18,1;5,4;1,4;
2017-07-31;6;10,8;966,4;16,5;5,7;1,6;
2017-08-31;6;null;960,9;17,1;6,4;1,5;
2017-09-30;3;null;961,5;20,1;6,5;1,9;
2017-10-31;14;97,4;956,8;22,3;5,8;2;
2017-11-30;5;null;null;null;6,2;null;
2017-12-31;16;100,6;954,6;23,1;7,5;1,7;
2018-01-31;21;404,6;955,3;23,6;null;null;
2018-02-28;18;87,4;955,4;22,9;null;null;
2018-03-31;15;190,4;955,1;23,9;5,2;1,5;
2018-04-30;9;55,4;959,5;21,6;4,5;1,5;
2018-05-31;10;25,2;960,8;19,2;6,9;1,5;
2018-06-30;10;31;961,3;18,4;4,7;1,2;
2018-07-31;8;19,4;961,3;18,2;4,9;1,3;
2018-08-31;10;58,2;961,6;17,9;5;1,6;
2018-09-30;12;62,2;957,8;20,4;6,1;1,8;
2018-10-31;23;77,6;956,7;21;6,6;1,7;
2018-11-30;20;131,4;956,8;21,8;7,2;1,9;
2018-12-31;16;73,4;955,9;23,4;5,7;1,7;
2019-01-31;15;192;957,1;25,5;8,6;1,7;
2019-02-28;21;192,8;955,3;23,9;5,8;1,6;
2019-03-31;24;228,6;957,4;23,2;4,7;1,4;
2019-04-30;15;124,6;956,8;22,7;7,3;1,4;
2019-05-31;13;156,8;958,1;20,8;4,6;1,3;
2019-06-30;12;35,8;962,2;18,8;6;1,3;
2019-07-31;8;15,6;961,8;16,9;6;1,6;
2019-08-31;9;35,4;963,8;17,6;7,2;1,6;
2019-09-30;12;92,6;959,8;20,3;5,7;1,7;
2019-10-31;11;122,6;957,3;22,1;5,6;1,7;
2019-11-30;20;117,4;955,9;21,7;6,4;1,8;
2019-12-31;14;163;955,6;23;5,7;1,7;

