Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.86749999
Longitude: -43.10194444
Altitude: 6
Situacao: Operante
Data Inicial: 2018-07-12
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-07-31;2;null;null;22,9;5,2;null;
2018-08-31;12;73,8;1019,7;21,5;4,5;1,4;
2018-09-30;12;54,6;1015,3;23,5;5,4;1,5;
2018-10-31;21;92,4;1013,9;24,3;4,9;1,5;
2018-11-30;16;155;1013,8;25,5;6;1,5;
2018-12-31;9;26,4;1012,5;27,4;6,2;1,6;
2019-01-31;4;35,2;1013;30,2;5,6;1,7;
2019-02-28;16;219,6;1011,5;27,9;5,1;1,4;
2019-03-31;17;179,6;1013,9;27,1;5,5;1,3;
2019-04-30;10;197,6;1013,5;26,5;6,3;1,3;
2019-05-31;8;79,4;1015;24,7;4,2;1,2;
2019-06-30;7;47,6;1019,6;23,3;5,6;1;
2019-07-31;6;20,4;1019,6;21,6;5,1;1,3;
2019-08-31;11;69,4;1021,8;21,4;5,9;1,3;
2019-09-30;14;83,8;1017,3;23,2;5,8;1,5;
2019-10-31;7;43;1014,4;25,4;5,1;1,6;
2019-11-30;10;74,2;1013;25;5,7;1,7;
2019-12-31;14;136,4;1012,3;26,5;5,3;1,6;

