Nome: ANGRA DOS REIS
Codigo Estacao: A628
Latitude: -22.97555554
Longitude: -44.30333333
Altitude: 6
Situacao: Pane
Data Inicial: 2017-08-24
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;
2017-09-30;4;15,2;1019,1;22;4,6;1,2;
2017-10-31;15;69,8;1014;23,6;7,4;1,1;
2017-11-30;16;319,4;1012,6;23,1;5,9;1;
2017-12-31;19;174,2;1011,5;24,8;4;,7;
2018-01-31;18;368;1011,8;26,1;8,1;,9;
2018-02-28;20;351,8;1012,4;25,1;4,8;,7;
2018-03-31;15;258,2;1011,7;26,5;5,6;,8;
2018-04-30;10;174,4;1016,9;24,2;3,9;,8;
2018-05-31;10;135,8;1018,5;21,9;4,2;,7;
2018-06-30;12;73,6;1019;20,7;3,4;,5;
2018-07-31;10;39,8;1019;20,6;4,4;,7;
2018-08-31;14;86,8;1019,9;20;5;,7;
2018-09-30;10;109;1015,6;22,1;4,8;,9;
2018-10-31;25;188,2;1014,3;22,5;4,4;,7;
2018-11-30;17;304,4;1014,1;23,7;6,7;,9;
2018-12-31;16;169,6;1012,8;25,4;5;,9;
2019-01-31;8;123,4;1013,2;28,5;5,3;1;
2019-02-28;18;487,8;1011,9;25,8;4;,7;
2019-03-31;23;576,2;1014,3;25,5;4,4;,6;
2019-04-30;14;203,4;1013,7;25,2;7,6;,7;
2019-05-31;10;212,6;1015,3;23,4;3;,5;
2019-06-30;7;53,2;1019,8;21,8;4,8;,6;
2019-07-31;4;64;1019,7;20,4;6,4;,8;
2019-08-31;14;171;1022;19,9;7,2;,7;
2019-09-30;18;122,4;1017,5;21,6;4;,7;
2019-10-31;15;88,8;1014,7;23,6;5,9;,9;
2019-11-30;19;211,8;1013,3;23,3;4,7;,7;
2019-12-31;15;110,4;1012,6;24,8;5,2;,8;

