Nome: CARMO
Codigo Estacao: A629
Latitude: -21.9386111
Longitude: -42.60083333
Altitude: 293
Situacao: Operante
Data Inicial: 2018-10-10
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;5;null;null;22,6;3,4;null;
2018-11-30;13;202,6;981,2;23,5;5,6;1,1;
2018-12-31;14;233,2;980;24,9;6,1;1;
2019-01-31;6;106,6;981,3;27;3,2;1;
2019-02-28;15;198,6;979,4;25,8;4,5;1;
2019-03-31;16;126,8;981,3;25,1;4,7;1;
2019-04-30;5;37,6;980,9;24,1;4;,8;
2019-05-31;7;125,2;982,4;22;3,6;,7;
2019-06-30;4;14,8;987;19,9;3,3;,7;
2019-07-31;2;3,2;986,6;17,8;3,4;,8;
2019-08-31;8;22;988,4;19,2;3,5;,9;
2019-09-30;6;54,4;984;22,7;3,9;1;
2019-10-31;13;44;981,6;24,1;5;1;
2019-11-30;20;159,4;979,9;24;3,9;1,1;
2019-12-31;15;247,6;980;24,5;4;1,1;

