Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2017-03-16
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;6;null;null;null;5,3;null;
2017-04-30;8;40,8;989,4;24,7;6,5;1,7;
2017-05-31;11;53,2;991,1;22,7;5,3;1,6;
2017-06-30;11;39;993,2;22,2;6,7;1,7;
2017-07-31;18;58,4;997,7;19,8;6,7;2;
2017-08-31;6;9,4;993,5;20,3;6,7;1,7;
2017-09-30;17;null;995,2;21,4;7;2,3;
2017-10-31;11;30,6;989,7;24,9;8,1;2,3;
2017-11-30;14;54;987,4;24,2;8,1;2,3;
2017-12-31;16;347;986,5;24,6;5,4;1,8;
2018-01-31;4;27,6;987,4;26,7;6,5;1,9;
2018-02-28;13;122,4;986,8;25,4;5,8;1,6;
2018-03-31;18;149,8;986,5;25,7;6,2;1,5;
2018-04-30;14;83,4;990,4;23,5;5,5;1,5;
2018-05-31;11;17,8;992;22,4;5,8;1,5;
2018-06-30;9;9,8;993,4;22,1;5,9;1,5;
2018-07-31;6;14,2;993,7;21,5;5,4;1,3;
2018-08-31;8;46,6;993,2;22,4;6,1;1,9;
2018-09-30;4;2;990,1;23,4;8;2,1;
2018-10-31;17;97;988,4;24,3;7,4;2,3;
2018-11-30;19;294,6;988,5;24,3;7,3;1,9;
2018-12-31;16;180;987,7;24,9;6,1;1,7;
2019-01-31;9;17,4;989,7;26,9;5,7;1,7;
2019-02-28;8;110,4;986,7;27,6;7,4;1,7;
2019-03-31;9;20,8;987,9;26,9;6,6;1,9;
2019-04-30;14;86,6;988;26,1;5,7;1,7;
2019-05-31;5;21,8;989,3;24,5;7,4;1,5;
2019-06-30;13;58,2;993,9;22,2;8,1;1,5;
2019-07-31;9;25,2;993,7;21;6,6;1,8;
2019-08-31;9;81,8;995,5;21,2;8,3;2,2;
2019-09-30;5;13,6;992,1;23,1;7,6;2,2;
2019-10-31;7;33;989,5;24,3;7;2,3;
2019-11-30;14;112,6;986,9;25,4;7;2,4;
2019-12-31;18;101,6;987,6;25,5;12,7;2,1;

