Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2017-02-09
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;8;null;null;21,9;3,5;null;
2017-03-31;16;87;934;21,2;3,9;1;
2017-04-30;17;79;935,5;20;4,4;,9;
2017-05-31;12;53,8;936,6;18;4,1;,8;
2017-06-30;15;31,6;938,6;17,2;3,7;,8;
2017-07-31;24;34,2;942,9;14,9;null;null;
2017-08-31;10;10,6;938,1;16,1;4,6;null;
2017-09-30;4;18;939,7;18,1;4,2;1,3;
2017-10-31;12;56,8;934,9;20,8;5,5;1,4;
2017-11-30;16;222,2;933;20,3;4,7;1,4;
2017-12-31;22;240,8;932,1;21,7;4,2;1,1;
2018-01-31;13;138,6;933;22,7;4,2;1,2;
2018-02-28;22;273,8;932,7;21,7;3,8;1,1;
2018-03-31;23;328,4;932,6;22,3;3,4;,9;
2018-04-30;28;209,6;936,4;19,6;3,2;,8;
2018-05-31;20;75,6;937,6;18,1;4,3;,8;
2018-06-30;21;25,8;938,5;17,6;4,1;,9;
2018-07-31;10;7,8;938,6;16,3;3,6;null;
2018-08-31;15;54,8;938,4;17,4;null;null;
2018-09-30;16;31,4;935,3;18,9;null;null;
2018-10-31;16;60,4;933,9;20,5;null;null;
2018-11-30;22;145,8;934,3;20,7;null;null;
2018-12-31;21;313,8;933,4;21,7;5;1,1;
2019-01-31;9;30;935,2;23,1;4,2;1,3;
2019-02-28;17;248,6;933;23;4;1,1;
2019-03-31;24;164,4;934,4;22,2;3,7;,9;
2019-04-30;15;100,8;934,1;21,8;4,3;,9;
2019-05-31;21;42,4;935,3;20,1;3,3;,8;
2019-06-30;13;10,4;939,4;17,8;3,8;,8;
2019-07-31;20;8,2;938,8;15,9;3,6;,9;
2019-08-31;20;23,4;940,5;16,8;4,4;1;
2019-09-30;14;45,4;937,1;19,2;null;null;
2019-10-31;15;33,2;934,7;21,1;4,5;1,3;
2019-11-30;21;236,2;933;21,1;4,1;1,1;
2019-12-31;17;193,2;933,3;22;5;1,2;

